Sr. No.,Heading,Summary,Links,Date & Time,Content,Language,Publication,Sentiment,Authors
16,"SDM becomes hero of Operation Sindoor, honored by Army Chief himself","• SDM Satish Sharma of Khour sub-division was honored by Army Chief General Dheeraj Seth for his leadership during 'Operation Sindoor'.
• Sharma successfully coordinated the evacuation of over 73,000 civilians from 53 border villages with zero casualties.
• His proactive administration and field presence ensured effective relief, medical support, and timely compensation for affected families in Jammu and Kashmir.","[""https://jammukashmir.punjabkesari.in/jammu-kashmir/news/sdm-satish-sharma-becomes-hero-of-operation-sindoor-2355943""]",11-07-2026 11:20,"Akhnoor (Rohit Mishra): Chief of Army Staff (COAS) General Dheeraj Seth honored SDM Khour, Satish Sharma, on the spot for his excellent administration during 'Operation Sindoor'. Satish Sharma, a dedicated and professional government officer currently serving as SDM of Khour sub-division, played a crucial role in the operation. Due to his active leadership and meticulous planning, he successfully evacuated civilians from 53 border villages within an 8km radius. Under his supervision, Village Action Teams (VATs) were formed, medical infrastructure was strengthened, transport was arranged, and relief camps were provided with food, sanitation, and healthcare. A 24x7 control room was established for real-time coordination between agencies. Through his efforts, over 73,000 out of 86,000 people were safely evacuated, and 17,000 were sheltered in camps, with zero casualties in the Khour sub-division. Satish Sharma personally visited sensitive areas despite shelling and communication hurdles, working round-the-clock. His proactive actions saved at least 80 lives, including those whose homes were destroyed. After the evacuation, he conducted a detailed survey of property and livestock damage alongside army personnel and oversaw the distribution of government compensation to affected families.",Hindi,Punjab Kesari,POSITIVE,"[""Sunita sarangal""]"
17,‘There is no graveyard in Kashmir where Pakistani terrorists are not buried...’: Hizbul commander's big confession,"['Hizbul Mujahideen commander Shamsheer Khan confessed on camera that Pakistani terrorists are buried in graveyards across Kashmir, including Lolab and Kathua.', ""The confession validates India's long-standing stance that Pakistan uses state-sponsored terrorists to incite violence in the region."", ""PM Narendra Modi highlighted India's military strength and the success of 'Operation Sindoor' against terrorist hideouts during his visit to Australia.""]","[""https://www.livehindustan.com/national/no-graveyard-in-kashmir-without-pakistani-terrorists-hizbul-mujahideen-commander-admission-on-camera-201783732773242.html""]",11-07-2026 06:56,"Hizbul's Supreme Commander Shamsheer Khan has made a major confession on camera. He also mentioned Lolab and Kathua in Kashmir. This statement by the Hizbul commander once again exposes Pakistan. A commander of the terrorist organization Hizbul Mujahideen has made a big confession on camera regarding Pakistan's misdeeds. Recently, a video of Hizbul's Deputy Supreme Commander Shamsheer Khan surfaced. In this video, the terrorist is seen confessing on camera that terrorists from every corner of Pakistan tried to create terror in Kashmir and were killed by security forces. Shamsheer Khan openly confessed that there is no graveyard left in Kashmir where the bodies of Pakistani terrorists are not buried. Addressing a gathering of Jamaat-e-Islami in Muzaffarabad, Pakistan-occupied Kashmir last July, Shamsheer Khan said, ""From Lolab and Kupwara to Kathua, there is not a single graveyard in Kashmir where Pakistani terrorists are not buried."" The Hizbul terrorist did not stop there. After this confession, Shamsheer, while talking about the relationship between Pakistan and Kashmir, claimed that no one can create hatred between them. This statement by Shamsheer Khan confirms India's claim of how Pakistan uses its nurtured terrorists to spread terror in Kashmir. India has been presenting evidence of this from time to time. It is noteworthy that this video has come at a time when in May, the Jammu and Kashmir Police had confiscated the property of Ghulam Mohammad Bhat alias Haider of Hizbul Mujahideen, active from Pakistan, in Panjla, Sopore. According to the police, Haider had fled to PoK for illegal arms training and was running terrorist activities against India from there. On one hand, while Pakistani terrorists are crying over their deaths in the valley, on the other hand, Prime Minister Narendra Modi proved the mettle of India's military capabilities during his Australia visit. Speaking at an event for the Indian diaspora in Australia, PM Modi specifically mentioned Operation Sindoor. Australian Prime Minister Anthony Albanese was also present on stage. Praising India's defense systems and the major action taken against terrorism, PM Modi said, ""Today the whole world is seeing the capability and reliability of India's defense platforms. You must have seen a major demonstration of this during Operation Sindoor."" PM Modi further said, ""The explosions were happening at terrorist hideouts, but the whole world heard their echo."" The Prime Minister asked the thousands of Indians present there, ""Did this major attack on terrorist hideouts fill you with pride or not?"" It is worth noting that in April last year, 26 people were killed in a terrorist attack in Pahalgam, Jammu and Kashmir. Terrorists nurtured by Pakistan brutally killed tourists who came to visit Kashmir after asking their religion. After this, India launched Operation Sindoor and destroyed dozens of terrorist hideouts in Pakistan and Pakistan-occupied Kashmir. During this, more than 100 terrorists were also killed.",Hindi,Live Hindustan,POSITIVE,"[""Jagriti Kumari""]"
18,"AI may shape future wars, but victory will depend on soldiers, national resolve: Rajnath Singh","Defence Minister Rajnath Singh, while commissioning INS Mahendragiri in Visakhapatnam, stated that while AI is transforming warfare, victory in future conflicts will rely on national resolve and trained soldiers. He emphasized balancing technological advancements with conventional military strength and highlighted how indigenous warship construction boosts India's industrial ecosystem, economy, and maritime security under the Maritime India Vision 2030.","[""https://www.morungexpress.com/ai-may-shape-future-wars-but-victory-will-depend-on-soldiers-national-resolve-rajnath-singh""]",11-07-2026 00:00,"Visakhapatnam, July 11 (IANS):Defence Minister Rajnath Singh on Saturday asserted that while emerging technologies such as Artificial Intelligence are transforming the nature of warfare, conventional military capabilities remain indispensable, stressing that future conflicts may involve AI but will ultimately be won through national resolve, trained soldiers and credible military strength.

Addressing the gathering during the commissioning ceremony of INS Mahendragiri into the Indian Navy in Andhra Pradesh's Visakhapatnam, Defence Minister Singh said, ""While new technologies have certainly transformed the nature of warfare, they have not diminished the importance of conventional warfare capabilities. Strong conventional capabilities remain just as essential today as ever for fulfilling the fundamental principles of warfare. Future wars may be fought with Artificial Intelligence, but they will still be won through national resolve, trained soldiers, and credible military power.""

Highlighting the need to balance technological advancement with conventional strength, the Defence Minister said, ""New technology and conventional platforms are not adversaries but complements to one another; a conventional platform is incomplete without new technology, and a conventional platform is weakened without it. History bears witness that nations which neglected their conventional strength, lured by the appeal of new technology, had to pay a heavy price.""

Emphasising India's long-term defence strategy, Defence Minister Singh said, ""Therefore, India's approach is very clear: We must excel in both areas and maintain a balance between them.""

""We will invest in future technologies while continuously honing our conventional capabilities. INS Mahendragiri stands as a symbol of this very resolve and commitment,"" he added.

Referring to India's recent military operations, the Defence Minister said the country's ability to effectively integrate conventional and modern capabilities had already been demonstrated.

""In recent times, we have also witnessed how our conventional and modern capabilities work in tandem when it comes to national security. 'Operation Sindoor' was a prime example of this. During that operation, our armed forces demonstrated that India is fully capable not only of self-defence but also of delivering a decisive response and completely eliminating the enemy when the need arises,"" he said.

Defence Minister Singh further stated that every warship commissioned into the Navy contributes to strengthening India's broader defence and industrial ecosystem.

""With every ship, India's ecosystem matures, becomes more efficient, and grows more confident.""

Explaining the wider economic significance of indigenous warship construction, he said, ""That is why I believe that every new ship represents a long-term investment in India's maritime future. The construction of a warship is not merely the building of a vessel; it entails the creation of an entire industrial ecosystem.""

""The shipbuilding industry drives progress across sectors such as steel, electronics, sensors, propulsion systems, software, precision engineering, logistics, and numerous ancillary industries. This generates employment opportunities for lakhs of people, fosters the development of new technologies, and imparts fresh momentum to our economy. Thus, when we build a ship, we not only strengthen our Navy but also infuse new energy into India's economic prowess,"" he added.

The Defence Minister also said India has an ambitious pipeline of naval projects planned for the coming years, with the objective of positioning the country as a global centre for shipbuilding and maritime defence innovation.

""I am confident that, in the near future, our country will carve a distinct niche for itself among the world's leading nations in this sector. We aim to move forward in collaboration with domestic industries, the private sector, MSMEs, startups, innovators, and our global partners. Driven by this vision, our government is working rapidly on the 'Maritime India Vision 2030',"" he said.

He further highlighted the government's policy initiatives aimed at strengthening the maritime sector.

""The government has launched several significant initiatives, such as the Maritime Development Fund, the Shipbuilding Financial Assistance Scheme, and the Shipbuilding Development Scheme. These efforts will strengthen our industrial base, expand our shipbuilding capacity, and correspondingly bolster our maritime capabilities to safeguard India's growing economic interests,"" Singh added.",English,Morung Express,POSITIVE,"[""Unknown""]"
19,"Buxar: Meeting held under the chairmanship of MP Sudhakar Singh, demand for statue of martyr Sunil Singh and extension of Marine Drive to Chausa",MP Sudhakar Singh chaired a DISHA meeting in Buxar to review development projects. Advocate Dr. Manoj Kumar Yadav proposed installing a statue of martyr Havildar Sunil Kumar Singh in Chausa and extending the Marine Drive project. The committee also discussed reducing gas cylinder refill intervals to improve public convenience.,"[""https://www.prabhatkhabar.com/state/bihar/buxar/disha-meeting-martyr-statue-marine-drive-gas-refilling""]",10-07-2026 19:42,"Buxar News: A meeting of the District Development Coordination and Monitoring Committee (DISHA) was held at the Collectorate auditorium on Friday under the chairmanship of MP Sudhakar Singh. The meeting reviewed various development schemes and discussed important public interest issues. Former District Councilor and Advocate Dr. Manoj Kumar Yadav, representing Chausa Nagar Panchayat, presented several key proposals regarding regional problems and development. Dr. Yadav demanded the installation of a life-size statue of Havildar Sunil Kumar Singh, a brave son of Chausa and Sena Medal recipient who was martyred during Operation Sindoor, to honor his sacrifice. He also suggested extending the proposed Maner-Buxar Marine Drive project to Chausa to boost tourism, local trade, and employment. Additionally, a demand was raised to reduce the mandatory 45-day interval for domestic gas cylinder refilling to 25 days to alleviate consumer hardship. MP Sudhakar Singh heard the proposals seriously and directed officials to take necessary action.",Hindi,Prabhat Khabar,POSITIVE,"[""Vinod singh""]"
20,Congress attacks Centre over China’s industrial dominance,"• Congress President Mallikarjun Kharge criticized Prime Minister Narendra Modi’s government for increasing economic dependence on China in critical sectors like pharmaceuticals, EVs, and solar energy.
• Kharge alleged that the government has compromised national interests and security since the Galwan Valley clash.
• The Congress party claims rising Chinese imports and trade deficits undermine the 'Atmanirbhar Bharat' initiative.","[""https://nagalandpost.com/congress-attacks-centre-over-chinas-industrial-dominance/""]",10-07-2026 10:20,"NEW DELHI, JUL 9 (PTI): The Congress on Thursday alleged that the Modi government has hurt national interests by letting China “capture” India’s most critical industries and opening more opportunities for the Chinese to “flourish”.Congress president Mallikarjun Kharge cited a media report, which claimed that China still powers India’s strategic industries, to attack the government.There was no immediate reaction from the government or the BJP on the Congress’ allegations.He claimed that six years ago, Prime Minister Narendra Modi handed a clean chit to China after 20 brave soldiers made the supreme sacrifice in Galwan.“Our breavehearts chose martyrdom, but Modi Govt has surrendered India’s interests to China,” Kharge alleged in a post on X.He claimed that dependence on China runs through the most critical sectors of India’s economy, which are supposed to define the country’s future.Kharge said since the Galwan clash, imports from China have “exploded” by 101.81 per cent by 2025-26, pushing India’s trade deficit with the neighbouring country to USD 112.1 billion.“China supplied a jaw-dropping 86 per cent of India’s antibiotic imports. Why? China cornered nearly 74 per cent of India’s API, bulk drug, and drug intermediate imports in 2024-25,” he said.Kharge further claimed that 66 per cent of India’s EV component imports still flow from China.Nearly 75 per cent of lithium-ion batteries powering Indian EVs are imported, and the overwhelming bulk of them are Chinese, he said, adding that India imported nearly 93 per cent of permanent magnets from China in 2025-26.“For all the hollow talks by the Modi government on solar energy, it is appalling that China supplied more than 99 per cent of India’s undiffused silicon wafer imports in 2025-26, a near total capture of a sector Modi ji’s claims to champion under Atmanirbhar Bharat.These undiffused silicon wafers are the foundation of our solar cells,” the Congress chief said.“Now, the Modi government has even rolled out the red carpet for his ‘Jhoola Friend’, relaxing restrictions to let four Chinese companies bid for India’s own government power projects.Civil society assertions and reports tell that China continues to encroach on Indian territory in Arunachal Pradesh and Ladakh,” Kharge said.Its role in Pakistan’s actions during Operation Sindoor was acknowledged by none less than the Deputy Chief of Army Staff and stands officially documented, he said.“The Modi government has hurt India’s national interests by letting Beijing capture India’s most critical industries since Galwan.Now they are opening more opportunities for the Chinese to flourish under the lens of his tinted ‘Laal Aankh’!” Kharge said, taking a swipe at Modi.",English,Nagaland Post,NEGATIVE,"[""NagaPost""]"
21,"Nadda slams Telangana Govt, highlights Centre's development initiatives","['Union Health Minister Jagat Prakash Nadda, in Hyderabad, accused Telangana Congress of misleading and being an ""ATM.""', ""He highlighted the Centre's development initiatives in Telangana (funds, AIIMS) and national achievements under PM Modi, like digital governance."", ""Nadda lauded India's progress: reduced Left-Wing Extremism, Indian Army's Operation Sindoor, and its global economic rise.""]","[""https://www.uniindia.com/nadda-slams-telangana-govt-highlights-centre-s-development-initiatives/south/news/3904425.html""]",09-07-2026 20:38,"Hyderabad, July 9 (UNI) union Health Minister and senior BJP leader Jagat Prakash Nadda on Thursday accused the Telangana Congress government of misleading people by claiming that theCentre had neglected the state and alleged that it was functioning as an ""ATM"" for the Congress leadership. Addressing a programme on ""Democracy, Diplomacy and Development: Foregrounding India's People, Partnerships and Progress"", organised by the Forum for Nationalist Thinkers here, he said Telangana had received its due share of central funds, including Rs 2.74 lakh crore through tax devolution, Rs 1.74 lakh crore for national highways, Rs 44,400 crore for power projects and major investments in railway infrastructure. Highlighting the Centre's achievements, he said the country now has 23 AIIMS institutions, with AIIMS Bibinagar being developed at a cost of about Rs 1,100 crore. He said the institute would have 1,001 beds, 22 modular operation theatres and was on course to become one of the country's premier medical institutions. Stating that the country had transformed under Prime Minister Narendra Modi's leadership, he cited achievements in digital governance, direct benefit transfers, healthcare, infrastructure, defence production, startup growth and pharmaceutical exports. COVID-19 vaccine was supplied to 100 countries, with 45 of them receiving free of cost, he added. He also highlighted the reduction of Left-Wing Extremism from 126 districts in eight states to just two districts and lauded the armed forces for the success of Operation Sindoor, saying the Indian Army had eliminated terror camps and high-value targets with precision. Claiming that India was now the world's fastest-growing major economy, Nadda said the country's global stature had risen significantly and called upon people to support the vision of making India a developed nation by 2047. Union Minister G Kishan Reddy, Telangana BJP president N. Ramchander Rao and other BJP leaders attended the programme. UNI VV MCR",English,UNI,POSITIVE,"[""Uniindia News Service""]"
22,"Kharge targets Centre over China, accuses PM Modi of giving Beijing a 'clean chit'","- Congress President Mallikarjun Kharge accused the Centre and PM Modi of increasing India's economic dependence on China post-Galwan clash.
- Kharge highlighted China's dominance in India's critical sectors like pharma, EVs, and renewable energy, citing rising imports.
- He also alleged China's continued encroachment in Arunachal Pradesh and Ladakh, criticizing the government's ""surrender"" of India's interests.","[""https://timesofindia.indiatimes.com/india/kharge-targets-centre-over-china-accuses-pm-modi-of-giving-beijing-a-clean-chit/articleshow/132287164.cms""]",09-07-2026 18:14,"NEW DELHI: The Congress on Thursday accused the BJP of increasing India's economic dependence on China despite the 2020 Galwan clash, alleging that Beijing has gained a dominant position in several strategic sectors under the current administration.
Congress president Mallikarjun Kharge, citing a media report and official trade data, claimed that Chinese imports had expanded significantly across industries critical to India's economy, including pharmaceuticals, electric vehicles and renewable energy.
""Six years ago, PM Narendra Modi handed over a clean chit to China after our 20 brave soldiers made the supreme sacrifice in Galwan. Our bravehearts chose martyrdom, but the Modi government has surrendered India's interests to China,"" Kharge said in a post on X.
Kharge alleged that India's imports from China had risen by 101.81 per cent since the Galwan clash, pushing the bilateral trade deficit to USD 112.1 billion in 2025-26.
He claimed China supplied 86 per cent of India's antibiotic imports and accounted for nearly 74 per cent of imports of active pharmaceutical ingredients (APIs), bulk drugs and drug intermediates during 2024-25.
The Congress chief also alleged that 66 per cent of India's electric vehicle component imports originated from China, while nearly three-fourths of imported lithium-ion batteries used in Indian EVs were Chinese.
He further claimed that China supplied around 93 per cent of India's permanent magnet imports in 2025-26.
On the renewable energy sector, Kharge alleged that China supplied more than 99 per cent of India's undiffused silicon wafer imports in 2025-26, calling it a near-total dominance of a sector that the government has identified as central to its Atmanirbhar Bharat initiative.
The Congress leader also criticised the Centre's reported decision to allow four Chinese companies to bid for government power projects, alleging that it had ""rolled out the red carpet"" for what he referred to as PM Modi's ""Jhoola Friend"".
He further alleged that China continued to encroach on Indian territory in Arunachal Pradesh and Ladakh and claimed Beijing's role in Pakistan's actions during Operation Sindoor had been acknowledged by the Deputy Chief of Army Staff.
""Modi government has hurt India's national interests by letting Beijing capture India's most critical industries since Galwan. Now they are opening more opportunities for the Chinese to flourish under the lens of his tinted 'Laal Aankh'!"" Kharge said.
There was no immediate response from the Centre or the Bharatiya Janata Party to the Congress' allegations.",English,Times of India,NEGATIVE,"[""Unknown""]"
23,Same as Original,"[""Congress President Mallikarjun Kharge alleged the Modi government hurt India's national interests by letting China capture critical industries."", ""Kharge cited China's dominance in India's antibiotic, API, EV, and solar silicon wafer imports post-Galwan clash."", 'He also claimed relaxed restrictions for Chinese firms in power projects and continued encroachment in Arunachal Pradesh and Ladakh.']","[""https://www.thehindu.com/news/national/modi-government-hurt-national-interests-by-letting-china-capture-indias-critical-industries-congress/article71201760.ece""]",09-07-2026 16:31,"The Congress on Thursday (July 9, 2026) alleged that the Modi government has hurt national interests by letting China “capture” India’s most critical industries and opening more opportunities for the Chinese to “flourish”.

Congress president Mallikarjun Kharge cited a media report, which claimed that China still powers India’s strategic industries, to attack the government.

 Congress targets Modi on foreign policy, cites passport decline and ‘silence’ on Gaza

There was no immediate reaction from the government or the BJP on the Congress’ allegations.

He claimed that six years ago, Prime Minister Narendra Modi handed a clean chit to China after 20 brave soldiers made the supreme sacrifice in Galwan.

“Our bravehearts chose martyrdom, but the Modi Government has surrendered India’s interests to China,” Mr. Kharge alleged in a post on X.

 Congress accuses Modi govt. of ‘calibrated capitulation’ to China

He claimed that dependence on China runs through the most critical sectors of India’s economy, which are supposed to define the country’s future.

Kharge said since the Galwan clash, imports from China have “exploded” by 101.81% by 2025-26, pushing India’s trade deficit with the neighbouring country to $112.1 billion.

“China supplied a jaw-dropping 86% of India’s antibiotic imports. Why? China cornered nearly 74% of India’s API, bulk drug, and drug intermediate imports in 2024-25,” he said.

Mr. Kharge further claimed that 66% of India’s EV component imports still flow from China.

Nearly 75% of lithium-ion batteries powering Indian EVs are imported, and the overwhelming bulk of them are Chinese, he said, adding that India imported nearly 93% of permanent magnets from China in 2025-26.

 Congress accuses Modi govt. of ‘calibrated capitulation’ to China

“For all the hollow talks by the Modi government on solar energy, it is appalling that China supplied more than 99 per cent of India’s undiffused silicon wafer imports in 2025-26, a near total capture of a sector Modi ji’s claims to champion under Atmanirbhar Bharat. These undiffused silicon wafers are the foundation of our solar cells,” the Congress chief said.

“Now, the Modi government has even rolled out the red carpet for his ‘Jhoola Friend’, relaxing restrictions to let four Chinese companies bid for India’s own government power projects. Civil society assertions and reports tell that China continues to encroach on Indian territory in Arunachal Pradesh and Ladakh,” Mr. Kharge said.

Its role in Pakistan’s actions during Operation Sindoor was acknowledged by none less than the Deputy Chief of Army Staff and stands officially documented, he said.

“The Modi government has hurt India’s national interests by letting Beijing capture India’s most critical industries since Galwan. Now they are opening more opportunities for the Chinese to flourish under the lens of his tinted ‘Laal Aankh’!” Mr. Kharge said, taking a swipe at PM Modi.",English,The Hindu,NEGATIVE,"[""PTI""]"
24,From clean chit to Chinese capture: Mallikarjun Kharge accuses Modi govt of surrendering India's interests to China after Galwan,"[""Congress President Mallikarjun Kharge accused the Modi government of surrendering India's interests to China post-Galwan, citing increased Chinese imports in key sectors."", 'Kharge alleged relaxed restrictions for Chinese companies in government power projects and continued Chinese encroachments in Arunachal Pradesh and Ladakh.', 'The Centre maintains diplomatic engagement; Arunachal Pradesh CM Pema Khandu and the Indian Army reject Chinese claims.']","[""https://aninews.in/news/national/politics/from-clean-chit-to-chinese-capture-mallikarjun-kharge-accuses-modi-govt-of-surrendering-indias-interests-to-china-after-galwan20260709143908""]",09-07-2026 14:39,"New Delhi [India], July 9 (ANI): Congress president Mallikarjun Kharge on Thursday accused the Narendra Modi-led government of ""surrendering India's interests"" to China in the six years since the Galwan Valley clash, alleging that Beijing has tightened its grip over several strategic sectors of the Indian economy despite the sacrifice of 20 Indian soldiers in 2020. In a post on X, Kharge alleged that Prime Minister Narendra Modi had given China a ""clean chit"" after the Galwan clash and claimed that India's growing dependence on Chinese imports in sectors such as pharmaceuticals, electric vehicles, solar energy and critical minerals reflected a failure of the government's economic and strategic policies. ""6 years ago, PM @narendramodi handed over a CLEAN CHIT to China, after our 20 brave soldiers made the supreme sacrifice in Galwan. Our bravehearts chose martyrdom, but Modi Govt has surrendered India's interests to China,"" Kharge said. Claiming that China's influence now extends across key sectors of the Indian economy, the Congress chief cited figures on imports and trade to argue that India's dependence on Beijing had increased significantly after the Galwan clash. ""Trade: Since Galwan, imports from China have exploded by a staggering 101.81% by 2025-26, hurtling India's trade deficit to a crushing $112.1 billion. Medicines: China supplied a jaw-dropping 86% of India's antibiotic imports. Why? China cornered nearly 74% of India's API, bulk drug, and drug intermediate imports in 2024-25,"" he alleged. Referring to the electric vehicle sector, Kharge claimed, ""EVs: 66% of India's EV component imports still flow from China. Nearly 75% of lithium-ion batteries powering Indian EVs are imported, and the overwhelming bulk of them are Chinese. India imported nearly 93% of permanent magnets from China in 2025-26."" On the renewable energy sector, Kharge said, ""Solar Power: For all the hollow talks by Modi Govt on Solar Energy, it is appalling that China supplied more than 99% of India's undiffused silicon wafer imports in 2025-26, near total capture of a sector Modi ji's claims to champion under Atmanirbhar Bharat. These undiffused silicon wafer are the foundation of our solar cells."" He also criticised the government over reports that restrictions had been relaxed to allow four Chinese-linked companies to bid for government power projects. ""Now Modi Govt has even rolled out the red carpet for his ""Jhoola Friend"", relaxing restrictions to let four Chinese companies bid for India's own government power projects,"" he said. Kharge further alleged that civil society reports pointed to continued Chinese encroachments in Arunachal Pradesh and Ladakh and referred to the Deputy Chief of Army Staff's remarks regarding China's role in Pakistan's actions during Operation Sindoor. ""Modi Govt has hurt India's National Interests by letting Beijing capture India's most critical industries, since Galwan. Now they are opening more opportunities for the Chinese to flourish under the lens of his tinted 'Laal Aankh',"" he said. His remarks come days after Congress MP Jairam Ramesh criticised the Centre over reports that four Chinese-linked power equipment firms had been allowed to participate in bids for certain government power projects. Ramesh alleged that the government's ""calibrated capitulation"" to China had continued despite record trade deficits, border tensions and security concerns. He also referred to Prime Minister Modi's June 2020 statement following the Galwan Valley clash and claimed that China's role in Pakistan's actions during Operation Sindoor had been acknowledged by the Deputy Chief of Army Staff. The Centre has maintained that India and China continue to engage through established diplomatic and military mechanisms to ensure peace and tranquillity along the Line of Actual Control (LAC). Last month, the two countries held the 35th meeting of the Working Mechanism for Consultation and Coordination (WMCC) on India-China Border Affairs in Beijing, where both sides reviewed the border situation and agreed to continue discussions on border management and bilateral cooperation. Earlier in June, Arunachal Pradesh Chief Minister Pema Khandu rejected Beijing's territorial claims over the state, asserting that Arunachal Pradesh is an integral part of India. The Indian Army has also dismissed reports alleging fresh Chinese encroachment in Arunachal Pradesh, describing them as ""incorrect and without any basis.""",English,ANI,NEUTRAL,"[""ANI""]"
25,Modi govt hurt national interests by letting China capture India's critical industries: Congress,"[""Congress President Mallikarjun Kharge alleged the Modi government hurt India's national interests by letting China capture critical industries (antibiotics, EVs, solar) and increase dependence post-Galwan clash."", 'Kharge cited a 101.81% import surge from China by 2025-26, causing a USD 112.1 billion trade deficit.', 'He also criticized relaxed restrictions for Chinese firms in government power projects and alleged Chinese encroachment.']","[""https://economictimes.indiatimes.com/news/india/modi-govt-hurt-national-interests-by-letting-china-capture-indias-critical-industries-congress/articleshow/132282193.cms""]",09-07-2026 14:36,"The Congress on Thursday alleged that the Modi government has hurt national interests by letting China ""capture"" India's most critical industries and opening more opportunities for the Chinese to ""flourish"".

Congress president Mallikarjun Kharge cited a media report, which claimed that China still powers India's strategic industries, to attack the government.

There was no immediate reaction from the government or the BJP on the Congress' allegations.


He claimed that six years ago, Prime Minister Narendra Modi handed a clean chit to China after 20 brave soldiers made the supreme sacrifice in Galwan.

""Our breavehearts chose martyrdom, but Modi Govt has surrendered India's interests to China,"" Kharge alleged in a post on X.


He claimed that dependence on China runs through the most critical sectors of India's economy, which are supposed to define the country's future.


Kharge said since the Galwan clash, imports from China have ""exploded"" by 101.81 per cent by 2025-26, pushing India's trade deficit with the neighbouring country to USD 112.1 billion.

""China supplied a jaw-dropping 86 per cent of India's antibiotic imports. Why? China cornered nearly 74 per cent of India's API, bulk drug, and drug intermediate imports in 2024-25,"" he said.

Kharge further claimed that 66 per cent of India's EV component imports still flow from China.

Nearly 75 per cent of lithium-ion batteries powering Indian EVs are imported, and the overwhelming bulk of them are Chinese, he said, adding that India imported nearly 93 per cent of permanent magnets from China in 2025-26.

""For all the hollow talks by the Modi government on solar energy, it is appalling that China supplied more than 99 per cent of India's undiffused silicon wafer imports in 2025-26, a near total capture of a sector Modi ji's claims to champion under Atmanirbhar Bharat. These undiffused silicon wafers are the foundation of our solar cells,"" the Congress chief said.

""Now, the Modi government has even rolled out the red carpet for his 'Jhoola Friend', relaxing restrictions to let four Chinese companies bid for India's own government power projects. Civil society assertions and reports tell that China continues to encroach on Indian territory in Arunachal Pradesh and Ladakh,"" Kharge said.

Its role in Pakistan's actions during Operation Sindoor was acknowledged by none less than the Deputy Chief of Army Staff and stands officially documented, he said.

""The Modi government has hurt India's national interests by letting Beijing capture India's most critical industries since Galwan. Now they are opening more opportunities for the Chinese to flourish under the lens of his tinted 'Laal Aankh'!"" Kharge said, taking a swipe at Modi.",English,Economic Times,NEGATIVE,"[""PTI""]"
