Sr. No.,Heading,Summary,Time,CCM,Content,Edition,Lnaguage,Publication,Sentiment,Authors
19,"Future wars will still be won by soldiers, not just AI: Rajnath","Defence Minister Rajnath Singh commissioned the INS Mahendragiri in Visakhapatnam. He emphasized that while AI is important, future wars will still be won by trained soldiers and conventional military power. He highlighted India's balanced approach to defence modernization and the Navy's successful role in Operation Urja Suraksha to protect maritime interests.",12-07-2026 04:46,227.2,"Press Trust of India Visakhapatnam, July 11 FUTURE WARS may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri, Singh also said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing. Highlighting the government's balanced approach towards defence modernisation, Singh said India is investing in next-generation tech while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. “Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,” he said. According to Singh, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means. The strong conventional capability still necessary for the fulfilment of basic principles of war is as important as it was before. Referring to the Indian Navy's role during the recent West Asia conflict, Singh said under Operation Urja Suraksha, the Navy safely escorted 18 merchant vessels carrying essential cargo valued at more than Rs 9,000 crore. Describing INS Mahendragiri as a “blue-water warship”, Singh said it can effectively counter threats from the air, enemy vessels on the surface and submarines hidden beneath the sea, and can protect India's maritime interests not only near the coastline but also in distant and deep oceans during prolonged deployments. INS Mahendragiri during its commissioning ceremony in Visakhapatnam on Saturday. PTI",Kolkata,English,The Indian Express,POSITIVE,[]
20,"INS Mahendragiri joins Navy’s Eastern Fleet, Defence Minister calls it symbol of India's maritime self-reliance","• Defence Minister Rajnath Singh commissioned the indigenously built stealth frigate INS Mahendragiri into the Indian Navy's Eastern Fleet at Visakhapatnam.
• The warship, built by Mazagon Dock Shipbuilders Limited, enhances India's maritime security and self-reliance in defence manufacturing.
• Rajnath Singh emphasized that conventional military power remains essential alongside advanced technologies like AI for national security.",12-07-2026 04:42,177.67,"GK News Service Visakhapatnam, Jul 11 Navy on Saturday inducted the indigenously built stealth frigate INS Mahendragiri into the Indian Navy's Eastern Fleet, with Defence Minister Rajnath Singh describing the frontline warship as a testament to the country's growing self-reliance in defence manufacturing and a major boost to maritime security in the Indo-Pacific. Commissioning the warship at Visakhapatnam, Rajnath Singh said the induction reflected India's ""exceptional design capabilities, manufacturing excellence, the rapid growth of the naval-industrial ecosystem, and its ability to deliver state-of-the-art platforms in a timely manner."" INS Mahendragiri is the sixth Project 17A stealth frigate to be inducted into the Navy in just 18 months. Designed by the Navy's Warship Design Bureau and built by Mazagon Dock Shipbuilders Limited, the frigate has more than 75 per cent indigenous content and is capable of undertaking the full spectrum of maritime operations, including air defence, anti-surface and anti-submarine warfare, surveillance, maritime interdiction and humanitarian assistance and disaster relief missions. Highlighting the ship's capabilities, Rajnath Singh said INS Mahendragiri can be equipped with the BrahMos supersonic cruise missile and advanced air-defence systems. ""INS Mahendragiri can be equipped with the BrahMos surface-to-surface missile, one of the world's fastest and most lethal cruise missiles. It also features a combination of multifunction radar and Surface-to-Air Missiles capable of detecting and neutralising aerial threats at extended ranges,"" he said. The Defence Minister said the warship's indigenous rocket launchers, torpedo launchers, integrated anti-submarine defence system, electronic warfare suite and close-in weapon system made it ""formidable and resilient"". Expressing confidence in the Navy's latest addition, he said the ""blue-water ship"" would safeguard India's maritime interests ""not just near the coast but far out in the deep oceans as well."" Referring to the changing character of warfare, Rajnath Singh stressed that while technologies such as artificial intelligence, drones, cyber capabilities, hypersonic weapons and unmanned systems were reshaping battlefields, conventional military power remained indispensable. ""Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and credible military power,"" he said. He added that Operation Sindoor had demonstrated the effective integration of conventional military capabilities with advanced technologies and described INS Mahendragiri as another symbol of India's commitment to building a technologically advanced and combat-ready Navy. Emphasising the strategic importance of the seas, Rajnath Singh said maritime security and economic security were inseparable, with secure sea lanes critical for trade, supply chains and energy security. Full Text On: greaterkashmir.com",Srinagar,English,Greater Kashmir,POSITIVE,[]
21,"Tech may shape wars, but resolve wins them: Rajnath","Defence Minister Rajnath Singh commissioned the INS Mahendragiri frigate in Visakhapatnam. He emphasized that while AI and technology are crucial, national resolve and trained soldiers remain vital for victory. He highlighted Andhra Pradesh's growing role as a defense manufacturing hub and reaffirmed India's commitment to maritime security and self-reliance under Prime Minister Narendra Modi's vision.",12-07-2026 04:27,423.24,"Defence Minister commissions the stealth frigate INS Mahendragiri, saying future wars may rely on AI and advanced technologies but will ultimately be won by trained soldiers, national resolve and strong conventional military power. Notes AP is emerging as a key defence and aerospace manufacturing hub. Stresses that INS Mahendragiri will strengthen India's maritime security and blue-water capabilities. RANI DEVALLA VISAKHAPATNAM. EVEN as emerging technologies such as Artificial Intelligence, cyber warfare, drone technology, space-based capabilities, unmanned systems and hypersonic weapons have largely transformed the crux of warfare, conventional military capabilities continue to hold sway as far as effective defence is concerned, emphasised Defence Minister Rajnath Singh. Presiding over the commissioning ceremony of the mission-primed INS Mahendragiri, the sixth in the Project 17A Nilgiri-class stealth frigate series, as chief guest at the Naval Dockyard in Visakhapatnam on July 11 (Saturday), the Defence Minister stated, 'Future wars may be fought with AI, but they will still be won by national resolve, trained soldiers and credible military power.' The Defence Minister underlined that Andhra Pradesh is serving as a major hub for the country's defence ecosystem and is steadily emerging as a new powerhouse for defence and aerospace manufacturing in the country. 'In Anakapalli, the foundation stone was laid for the new naval systems manufacturing facility of Bharat Dynamics Limited (BDL), while Core Integration and Flight Testing Centre to develop the Advanced Medium Combat Aircraft and other indigenous platforms in Puttaparthi. Weapon systems that we earlier used to import will now be manufactured in AP,' the Defence Minister stressed, adding that AP is contributing to India's defence might across air, water, land and unmanned domains. Despite the emerging warfare technologies, Rajnath Singh underlined that advanced technologies and conventional platforms complement one another and exhorted young entrepreneurs, engineers, innovators and researchers to contribute to nation-building by developing technologies that reshape the future course of warfare and make India self-reliant. Highlighting Prime Minister Narendra Modi's vision to maintain a balanced approach of investing in next-generation technologies and strengthening its conventional might, Rajnath Singh recalled, 'Operation Sindoor was a prime example of the effective integration of conventional and modern capabilities to safeguard national security.' Asserting that maritime and economic securities are closely linked, the Defence Minister mentioned that the seas are vital not only for national security but also for trade, supply chains, energy security and economic growth. 'India is a net security provider and a trusted partner dedicated to ensuring security and development across the region,' he highlighted, praising the Indian Navy for demonstrating this commitment through its role in HADR operations, anti-piracy missions, among a host of others. About the Indian Navy's role during the West Asia conflict, the Defence Minister recalled that under the operation 'Urja Suraksha', Indian Navy safely escorted 18 merchant vessels, carrying essential cargo valued Rs.9,000 crore and stressed on the navy's role as a key protector of India's economic interests. The Defence Minster expressed confidence that INS Mahendragiri will further strengthen the overall maritime strategy of the eastern seaboard, expanding India's blue-water reach and its presence in the Indian Ocean Region. 'Indigenous warship construction stretches beyond creating combat platforms as it strengthens design capabilities, technological expertise, skilled manpower and world class maritime ecosystem. INS Mahendragiri is a symbol of the nation's commitment to building a technologically advanced and combat-ready navy,' Rajnath Singh highlighted, emphasising that apart from producing indigenous ships, Indian shipyards are also catering to foreign countries' needs. Defining INS Mahendragiri as the concluding 'jewel' of Mazagon Dock Shipbuilders Limited's Project 17A programme, the Defence Minister exuded confidence that the frontline warship is certain to boost the Indian Navy's multi-mission capabilities.",Hyderabad,English,The Hans India,POSITIVE,"[""Rani Devalla""]"
22,"Tech may shape wars, but resolve wins them: Rajnath","• Defence Minister Rajnath Singh commissioned the stealth frigate INS Mahendragiri in Visakhapatnam.
• He emphasized that while AI and technology are crucial, national resolve and conventional military power remain essential for victory.
• Rajnath highlighted Andhra Pradesh's growing role as a key defence and aerospace manufacturing hub for India.",12-07-2026 04:25,422.06,"Defence Minister commissions the stealth frigate INS Mahendragiri, saying future wars may rely on AI and advanced technologies but will ultimately be won by trained soldiers, national resolve and strong conventional military power. Notes AP is emerging as a key defence and aerospace manufacturing hub. Stresses that INS Mahendragiri will strengthen India’s maritime security and blue-water capabilities. RANI DEVALLA VISAKHAPATNAM. EVEN as emerging technologies such as Artificial Intelligence, cyber warfare, drone technology, space-based capabilities, unmanned systems and hypersonic weapons have largely transformed the crux of warfare, conventional military capabilities continue to hold sway as far as effective defence is concerned, emphasised Defence Minister Rajnath Singh. Presiding over the commissioning ceremony of the mission-primed INS Mahendragiri, the sixth in the Project 17A Nilgiri-class stealth frigate series, as chief guest at the Naval Dockyard in Visakhapatnam on July 11 (Saturday), the Defence Minister stated, 'Future wars may be fought with AI, but they will still be won by national resolve, trained soldiers and credible military power.' The Defence Minister underlined that Andhra Pradesh is serving as a major hub for the country’s defence ecosystem and is steadily emerging as a new powerhouse for defence and aerospace manufacturing in the country. 'In Anakapalli, the foundation stone was laid for the new naval systems manufacturing facility of Bharat Dynamics Limited (BDL), while Core Integration and Flight Testing Centre to develop the Advanced Medium Combat Aircraft and other indigenous platforms in Puttaparthi. Weapon systems that we earlier used to import will now be manufactured in AP,' the Defence Minister stressed, adding that AP is contributing to India’s defence might across air, water, land and unmanned domains. Despite the emerging warfare technologies, Rajnath Singh underlined that advanced technologies and conventional platforms complement one another and exhorted young entrepreneurs, engineers, innovators and researchers to contribute to nation-building by developing technologies that reshape the future course of warfare and make India self-reliant. Highlighting Prime Minister Narendra Modi’s vision to maintain a balanced approach of investing in next-generation technologies and strengthening its conventional might, Rajnath Singh recalled, 'Operation Sindoor was a prime example of the effective integration of conventional and modern capabilities to safeguard national security.' Asserting that maritime and economic securities are closely linked, the Defence Minister mentioned that the seas are vital not only for national security but also for trade, supply chains, energy security and economic growth. 'India is a net security provider and a trusted partner dedicated to ensuring security and development across the region,' he highlighted, praising the Indian Navy for demonstrating this commitment through its role in HADR operations, anti-piracy missions, among a host of others. About the Indian Navy’s role during the West Asia conflict, the Defence Minister recalled that under the operation ‘Urja Suraksha’, Indian Navy safely escorted 18 merchant vessels, carrying essential cargo valued Rs.9,000 crore and stressed on the navy’s role as a key protector of India’s economic interests. The Defence Minster expressed confidence that INS Mahendragiri will further strengthen the overall maritime strategy of the eastern seaboard, expanding India’s blue-water reach and its presence in the Indian Ocean Region. 'Indigenous warship construction stretches beyond creating combat platforms as it strengthens design capabilities, technological expertise, skilled manpower and world class maritime ecosystem. INS Mahendragiri is a symbol of the nation’s commitment to building a technologically advanced and combat-ready navy,' Rajnath highlighted, emphasising that apart from producing indigenous ships, Indian shipyards are also catering to foreign countries’ needs. Defining INS Mahendragiri as the concluding ‘jewel’ of Mazagon Dock Shipbuilders Limited’s Project 17A programme, the Defence Minister exuded confidence that the frontline warship is certain to boost the Indian Navy’s multi-mission capabilities.",Vijayawada,English,The Hans India,POSITIVE,"[""Rani Devalla""]"
23,"Tech may shape wars, but resolve wins them: Rajnath","• Defence Minister Rajnath Singh commissioned the INS Mahendragiri frigate in Visakhapatnam, Andhra Pradesh.
• He emphasized that while AI and technology are vital, national resolve and trained soldiers remain key to winning wars.
• The event highlighted India's growing indigenous defence manufacturing capabilities under Prime Minister Narendra Modi's vision for a self-reliant nation.",12-07-2026 04:24,423.24,"Defence Minister commissions the stealth frigate INS Mahendragiri, saying future wars may rely on AI and advanced technologies but will ultimately be won by trained soldiers, national resolve and strong conventional military power. Notes AP is emerging as a key defence and aerospace manufacturing hub. Stresses that INS Mahendragiri will strengthen India's maritime security and blue-water capabilities. RANI DEVALLA VISAKHAPATNAM. EVEN as emerging technologies such as Artificial Intelligence, cyber warfare, drone technology, space-based capabilities, unmanned systems and hypersonic weapons have largely transformed the crux of warfare, conventional military capabilities continue to hold sway as far as effective defence is concerned, emphasised Defence Minister Rajnath Singh. Presiding over the commissioning ceremony of the mission-primed INS Mahendragiri, the sixth in the Project 17A Nilgiri-class stealth frigate series, as chief guest at the Naval Dockyard in Visakhapatnam on July 11 (Saturday), the Defence Minister stated, 'Future wars may be fought with AI, but they will still be won by national resolve, trained soldiers and credible military power.' The Defence Minister underlined that Andhra Pradesh is serving as a major hub for the country's defence ecosystem and is steadily emerging as a new powerhouse for defence and aerospace manufacturing in the country. 'In Anakapalli, the foundation stone was laid for the new naval systems manufacturing facility of Bharat Dynamics Limited (BDL), while Core Integration and Flight Testing Centre to develop the Advanced Medium Combat Aircraft and other indigenous platforms in Puttaparthi. Weapon systems that we earlier used to import will now be manufactured in AP,' the Defence Minister stressed, adding that AP is contributing to India's defence might across air, water, land and unmanned domains. Despite the emerging warfare technologies, Rajnath Singh underlined that advanced technologies and conventional platforms complement one another and exhorted young entrepreneurs, engineers, innovators and researchers to contribute to nation-building by developing technologies that reshape the future course of warfare and make India self-reliant. Highlighting Prime Minister Narendra Modi's vision to maintain a balanced approach of investing in next-generation technologies and strengthening its conventional military might, Rajnath Singh recalled, 'Operation Sindoor was a prime example of the effective integration of conventional and modern capabilities to safeguard national security.' Asserting that maritime and economic securities are closely linked, the Defence Minister mentioned that the seas are vital not only for national security but also for trade, supply chains, energy security and economic growth. 'India is a net security provider and a trusted partner dedicated to ensuring security and development across the region,' he highlighted, praising the Indian Navy for demonstrating this commitment through its role in HADR operations, anti-piracy missions, among a host of others. About the Indian Navy's role during the West Asia conflict, the Defence Minister recalled that under the operation 'Urja Suraksha', Indian Navy safely escorted 18 merchant vessels, carrying essential cargo valued Rs.9,000 crore and stressed on the navy's role as a key protector of India's economic interests. The Defence Minister expressed confidence that INS Mahendragiri will further strengthen the overall maritime strategy of the eastern seaboard, expanding India's blue-water reach and its presence in the Indian Ocean Region. 'Indigenous warship construction stretches beyond creating combat platforms as it strengthens design capabilities, technological expertise, skilled manpower and world class maritime ecosystem. INS Mahendragiri is a symbol of the nation's commitment to building a technologically advanced and combat-ready navy,' Rajnath Singh highlighted, emphasising that apart from producing indigenous ships, Indian shipyards are also catering to foreign countries' needs. Defining INS Mahendragiri as the concluding 'jewel' of Mazagon Dock Shipbuilders Limited's Project 17A programme, the Defence Minister exuded confidence that the frontline warship is certain to boost the Indian Navy's multi-mission capabilities.",Delhi,English,The Hans India,POSITIVE,"[""Rani Devalla""]"
24,"Future wars will still be won by soldiers, not just AI: Rajnath","Defence Minister Rajnath Singh, while commissioning the INS Mahendragiri in Visakhapatnam, emphasized that while AI is significant, future wars will be won by soldiers and national resolve. He highlighted India's balanced approach to defence modernization and the Indian Navy's successful Operation Urja Suraksha, which protected merchant vessels during the West Asia conflict.",12-07-2026 04:16,230.48,"Press Trust of India. Visakhapatnam, July 11. FUTURE WARS may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri, Singh also said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing. Highlighting the government's balanced approach towards defence modernisation, Singh said India is investing in next-generation tech while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. “Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,” he said. According to Singh, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means. The strong conventional capability still necessary for the fulfilment of basic principles of war is as important as it was before. Referring to the Indian Navy's role during the recent West Asia conflict, Singh said under Operation Urja Suraksha, the Navy safely escorted 18 merchant vessels carrying essential cargo valued at more than Rs 9,000 crore. Describing INS Mahendragiri as a “blue-water warship”, Singh said it can effectively counter threats from the air, enemy vessels on the surface and submarines hidden beneath the sea, and can protect India's maritime interests not only near the coastline but also in distant and deep oceans during prolonged deployments. INS Mahendragiri during its commissioning ceremony in Visakhapatnam on Saturday. PTI",Delhi,English,The Indian Express,POSITIVE,[]
25,RAJNATH SEES AP AS DEFENCE HUB,"Defence Minister Rajnath Singh highlighted the importance of conventional military capabilities alongside modern technology like AI and drones. He emphasized the Indian Navy's role in maritime security, trade protection, and humanitarian assistance under the SAGAR vision, while positioning Andhra Pradesh as a key defence hub.",12-07-2026 03:21,6742.08,"FROM PAGE 1 The warship is capable of speeds up to 28 knots. It is equipped with BrahMos supersonic missiles, medium-range air defence systems, multifunction radar, indigenous rocket and torpedo launchers, electronic warfare systems, close-in weapon systems, advanced sensors, network-centric combat systems and a multi-role helicopter. The defence minister said emerging technologies, such as drones, artificial intelligence, and hypersonic weapons are transforming warfare. But conventional military capabilities remain the backbone of national defence. He referred to Operation Sindoor as an example of the integration of conventional and modern capabilities.Highlighting the link between maritime and economic security, Rajnath Singh said the Navy played a key role in safeguarding trade, supply chains, and energy security. He reaffirmed India's commitment to the SAGAR vision and described the Navy as a First Responder and Preferred Security Partner in humanitarian assistance, anti-piracy operations, and evacuation missions. Referring to Operation Urja Suraksha.",Visakhapatnam,English,Deccan Chronicle,POSITIVE,[]
26,Rajnath sees AP as defence hub,"Defence Minister Rajnath Singh highlighted Andhra Pradesh's potential as a defence hub. He emphasized the Indian Navy's role in maritime security, trade protection, and humanitarian assistance under the SAGAR vision, while noting the integration of conventional and modern military technologies like BrahMos missiles and AI in national defence.",12-07-2026 03:21,6742.08,"FROM PAGE 1 The warship is capable of speeds up to 28 knots. It is equipped with BrahMos supersonic missiles, medium-range air defence systems, multifunction radar, indigenous rocket and torpedo launchers, electronic warfare systems, close-in weapon systems, advanced sensors, network-centric combat systems and a multi-role helicopter. The defence minister said emerging technologies, such as drones, artificial intelligence, and hypersonic weapons are transforming warfare. But conventional military capabilities remain the backbone of national defence. He referred to Operation Sindoor as an example of the integration of conventional and modern capabilities.Highlighting the link between maritime and economic security, Rajnath Singh said the Navy played a key role in safeguarding trade, supply chains, and energy security. He reaffirmed India's commitment to the SAGAR vision and described the Navy as a First Responder and Preferred Security Partner in humanitarian assistance, anti-piracy operations, and evacuation missions. Referring to Operation Urja Suraksha.",Vijayawada,English,Deccan Chronicle,POSITIVE,[]
27,"Resolve, soldiers will win future wars, not just AI: Rajnath Singh","Defence Minister Rajnath Singh, while commissioning the INS Mahendragiri in Visakhapatnam, emphasized that human resolve and trained soldiers remain the decisive factors in future warfare, even as India integrates Artificial Intelligence into its defense systems. He reaffirmed India's commitment to the SAGAR vision and its role as a net security provider, citing successful naval operations like Operation Urja Suraksha in safeguarding national and economic interests.",12-07-2026 02:30,1044.36,"Defence Minister Rajnath Singh, speaking at the commissioning ceremony of INS Mahendragiri in Visakhapatnam, asserted that while future wars may be fought with Artificial Intelligence, they will ultimately be won by national resolve, trained soldiers, and robust military power. He emphasized that new technologies and conventional platforms are not opposed to each other but rather supplement and complete one another, noting that conventional capabilities remain as vital as ever for the fulfillment of the basic principles of war.

Highlighting the Government’s balanced approach to defence modernisation, Singh pointed to India’s investment in next-generation technologies alongside the strengthening of conventional military capabilities, citing Operation Sindoor as a prime example of this integration. He further noted that Andhra Pradesh has emerged as a new powerhouse for India’s defence and aerospace manufacturing, and that the successful induction of INS Mahendragiri demonstrates the nation's growing indigenous expertise in designing and deploying complex frontline combat platforms.

Addressing the intersection of maritime and economic security, Singh reaffirmed India’s commitment to the SAGAR vision in the Indo-Pacific. He lauded the Indian Navy for its role as a net security provider and trusted regional partner, highlighting its humanitarian efforts and anti-piracy missions. Specifically, he referenced Operation Urja Suraksha, during which the Navy safely escorted 18 merchant vessels carrying essential cargo valued at over ₹9,000 crore, underscoring the Navy's critical role in protecting both national security and India’s economic interests.",Chandigarh,English,The Pioneer,POSITIVE,[]
28,"Resolve, soldiers will win future wars, not just AI: Rajnath Singh","• Defence Minister Rajnath Singh addressed the commissioning of INS Mahendragiri in Visakhapatnam.
• He emphasized that while AI is important, national resolve and trained soldiers remain crucial for winning future wars.
• Singh highlighted Andhra Pradesh's growing role as a hub for India's defence and aerospace manufacturing.",12-07-2026 02:19,2297.96,"PIONEER NEWS SERVICE Visakhapatnam. Future wars may be fought with Artificial Intelligence (AI), but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri in Visakhapatnam, Singh also said Andhra Pradesh has emerged as a new powerhouse of India’s defence and aerospace manufacturing. Highlighting the Government’s balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. “Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other.",Delhi,English,The Pioneer,POSITIVE,"[""Pioneer News Service""]"
29,"6th Project 17A indigenous frigate to be commissioned in just 1.5 years; Navy inducts warship Mahendragiri; 'Future conflicts will still be won by soldiers, not just AI'","• Defence Minister Rajnath Singh commissioned the indigenous stealth frigate INS Mahendragiri into the Indian Navy at Visakhapatnam.
• The warship, built by Mazagon Dock Shipbuilders, highlights India's growing self-reliance in defence manufacturing.
• Rajnath Singh emphasized that while AI is important, future conflicts will still be won by trained soldiers and robust military power.",12-07-2026 02:02,793.29,"6th Project 17A indigenous frigate to be commissioned in just 1.5 years. Navy inducts warship Mahendragiri. PAWAN BALI NEW DELHI, JULY 11. The Indian Navy on Saturday inducted the latest warship equipped with BrahMos missiles, the advanced stealth frigate INS Mahendragiri into its Eastern Fleet during a ceremony presided over by defence minister Rajnath Singh at Visakhapatnam. Mr Singh described the frontline warship as a reflection of India's growing self-reliance in shipbuilding, underpinned by exceptional design capabilities, manufacturing excellence, the rapid growth of the naval-industrial ecosystem, and its ability to deliver state-of-the-art platforms in a timely manner. INS Mahendragiri is the sixth Project 17A indigenous stealth frigate to be inducted into the Indian Navy in a span of just 1.5 years. Under ₹45,000 crore Project-17A, seven frigates are being constructed by MDL and GRSE. The first ship of the series INS Nilgiri was commissioned in January 2025, followed by INS Udaygiri and INS Himgiri in August, INS Taragiri in April this year and INS Dunagiri last month. Designed by the Indian Navy's Warship Design Bureau and built by Mazagon Dock Shipbuilders Limited (MDL), Mumbai, the ship is capable of undertaking the full spectrum of maritime operations, including fleet air defence, anti-surface warfare, anti-submarine warfare, maritime interdiction, surveillance and humanitarian assistance and disaster relief (HADR). The warship, with over 75 per cent indigenous content, has a displacement of approximately 6,670 tonnes and the capability to reach speeds of up to 28 knots. INS Mahendragiri during its commissioning ceremony in Visakhapatnam on Saturday. — PTI. 'Future conflicts will still be won by soldiers, not just AI'. Visakhapatnam, July 11: Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday. Speaking at the commissioning ceremony of INS Mahendragiri here, Singh also said Andhra Pradesh has emerged as a new powerhouse of India's defence and aerospace manufacturing. Highlighting the government's balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities. He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security. ""Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,"" he said. As per Mr Singh, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means. — PTI",Chennai,English,Deccan Chronicle,POSITIVE,"[""PAWAN BALI""]"
30,"Future wars will still be won by resolve and soldiers, not just AI: Rajnath Singh","• Defence Minister Rajnath Singh commissioned INS Mahendragiri in Visakhapatnam, Andhra Pradesh.
• He emphasized that while AI is important, future wars will be won by national resolve and trained soldiers.
• Singh highlighted India's balanced approach to modernizing defense while strengthening conventional military capabilities for national security.",12-07-2026 01:29,194.27,"Future wars will still be won by resolve and soldiers, not just AI: Rajnath Singh
COMMISSIONS INS MAHENDRAGIRI IN VIZAG
VISAKHAPATNAM, JUL 11 (PTI): Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and robust military power, Defence Minister Rajnath Singh said on Saturday.
Speaking at the commissioning ceremony of INS Mahendragiri here, Singh also said Andhra Pradesh has emerged as a new powerhouse of India’s defence and aerospace manufacturing.
Highlighting the government’s balanced approach towards defence modernisation, Singh said India is investing in next-generation technologies while simultaneously strengthening conventional military capabilities.
He cited Operation Sindoor as an example of the effective integration of conventional and modern capabilities to safeguard national security.
“Future wars may be fought with Artificial Intelligence, but they will still be won by national resolve, trained soldiers and the capable military power. So, I would say that new technologies and conventional platforms are not opposed to each other, but supplement each other, complete each other. Without conventional platforms, new technologies are incomplete in themselves,” he said.
According to Singh, it is certain that new technologies have reshaped warfare, but they have not diminished the role of conventional warfare means.
The strong conventional capability that is still necessary for the fulfilment of basic principles of war is as important as it was before.
Emphasising that maritime security and economic security are closely interconnected, Singh said the seas remain vital for trade, supply chains, energy security and economic growth.
He reaffirmed the government’s commitment to the Security and Growth for All in the Region (SAGAR) vision in the Indo-Pacific.",Dimapur,English,Nagaland Post,POSITIVE,[]
