 Sr. No.,Headline,Sentiment,Tags,CreatedAt,Handle,Likes,Engagement,Language,URL
11,Comment 1- संसद में झूठ बोलने पर इस्तीफा दे राजनाथ सिंह 🔥🔥,Negative,Comment ,27.06.2027,"priyank_inc3008
",16099,,Hindi,https://www.instagram.com/reel/DaFez-nzOMf/?utm_source=ig_web_button_share_sheet
12,Comment 2- अंधभक्त नही दिखाई दे रहे हैं,Negative,Comment ,27.06.2028,"yogesh.yogi.3597754
",9033,,Hindi,https://www.instagram.com/reel/DaFez-nzOMf/?utm_source=ig_web_button_share_sheet
13,Comment 3- Itna gira hua toh pakistan bhi nhi h,Negative,Comment ,27.06.2029,"vicky_anu2000
 ",4820,,English,https://www.instagram.com/reel/DaFez-nzOMf/?utm_source=ig_web_button_share_sheet
14,Comment 5- Bc BJP SE AACHHA TO ANREJ THA🤡🤡🤬🤬🤬,Negative,Comment ,27.06.2031,"gawali6050
",1495,,English,https://www.instagram.com/reel/DaFez-nzOMf/?utm_source=ig_web_button_share_sheet
15,"Operation sindoor 
@sushil_samrat_01
#indiansoldiers #roast #parliament #ramnathsingh #memes

",Negative,Post,3.07.2026,sushil_samrat_01,19.3k,135,English,https://www.instagram.com/reel/DaUoHQwBgnh/?utm_source=ig_web_button_share_sheet
16,"A viral video has sparked discussion online after questions were raised about the reported delay in disclosing the names of personnel associated with Operation Sindoor. The remarks have prompted debate on transparency, official communication, and the handling of information related to national security and military operations.

Analysis & Educational Value:

This discussion highlights broader issues surrounding government transparency, public accountability, and the balance between national security considerations and the public's right to information. It also reflects how sensitive matters involving military operations can generate significant public interest and differing viewpoints.

Sources – @deeptalks.123

Disclaimer:

The reproduced video or photo content is used under the fair dealing provisions of Section 52(1)(B) of the Indian Copyright Act, 1957, which permits use for reporting, teaching, research, and news purposes. Our objective is to inform, not to claim ownership. Full credit goes to the original creator.

",Negative,Post,29.06.2026,talksindians,237.7k,1.8k,English,https://www.instagram.com/reel/DaKsZ33gwOg/?utm_source=ig_web_button_share_sheet
17,Comment 1- Just imagine the pain of families 😢,Negative,Comment ,29.06.2027,"
malik_alpha_007",4081,,English,https://www.instagram.com/reel/DaKsZ33gwOg/?utm_source=ig_web_button_share_sheet
18,Comment 2- Bjp ne dhokha diya hai 😢😣,Negative,Comment ,29.06.2028,j4_jilu_09,4091,,English,https://www.instagram.com/reel/DaKsZ33gwOg/?utm_source=ig_web_button_share_sheet
19,Comment 3- Justice for soldiers 🙏🏻,Negative,Comment ,29.06.2029,"yo_its_jayu
 
",1890,,Englsh,https://www.instagram.com/reel/DaKsZ33gwOg/?utm_source=ig_web_button_share_sheet
20,भाजपा सरकार 1 नंबर की झूठी है,Negative,Post,27.06.2026,ultachasmauc,9.8k,199,English,https://www.instagram.com/reel/DaFp2ELDkzt/?utm_source=ig_web_button_share_sheet
21,"The Government of India for the first time has officially revealed the names of six armed forces personnel who were martyred during Operation Sindoor, India's military response to the Pahalgam terror attack in J&K.

The announcement comes months after the Pak-sponsored terror attack in Pahalgam on April 22, 2025.

The names of the six martyrs will now be permanently inscribed on granite plaques at the National War Memorial near India Gate in New Delhi to honour their sacrifice.

The operation led to three days of military escalation between India and Pakistan before both sides agreed to an immediate ceasefire on May 10, 2025.

Operation Sindoor was launched by the Indian Armed Forces in the early hours of May 7, 2025, in response to the Pahalgam terror attack.

The operation targeted terror infrastructure in Pakistan's Punjab province and Pakistan-occupied Kashmir. #FirstpostNews",Positive,Post,26.06.2026,"firstpost
",4K,,English,https://www.instagram.com/p/DaDGAxTjady/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
22,"For the first time, the Government of India has officially released the names of the six armed forces personnel who were martyred during Operation Sindoor. Their names have been added to the Roll of Honour and will be inscribed on the Tyag Chakra (Circle of Sacrifice) at the National War Memorial in New Delhi.

The six martyrs are:
• Subedar Major Pawan Kumar
• Rifleman Sunil Kumar (Vir Chakra)
• Lance Naik Dinesh Kumar
• Agniveer Murali Naik
• Havildar Sunil Kumar Singh
• Sergeant Surendra Kumar (Vayu Medal)

This is the first official public acknowledgement of the personnel who lost their lives during the operation, ensuring that their courage and sacrifice are remembered forever.

🇮🇳 Salute to our brave heroes.

#OperationSindoor #IndianArmy #IndianAirForce #Martyrs",Positive,"Post
(No Comments)",27.06.2026,"depictindia
",21,,English,https://www.instagram.com/p/DaFIVvlRziF/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
23,"The Indian Army has, for the first time, revealed the names of six soldiers who were martyred during Operation Sindoor, honouring their courage and supreme sacrifice in the line of duty.
Two of the brave soldiers were also awarded gallantry medals posthumously in recognition of their exceptional bravery during the operation.
Their sacrifice stands as a lasting reminder of the courage and dedication of India's armed forces in protecting the nation.",Positive,Post,26.06.2026,"indiansgag
",7.6K,,English,https://www.instagram.com/p/DaDxAbUE-l5/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
24,"For the first time since Operation Sindoor, India has officially revealed the names of the six personnel who made the ultimate sacrifice.

The Government has released the identities of five Indian Army soldiers and one Indian Air Force airman who were martyred during Operation Sindoor, India's military response to the Pahalgam terror attack. 

Their names have now been added to the Roll of Honour at the National War Memorial in New Delhi, ensuring that their sacrifice becomes a permanent part of the nation's military history. 

The six bravehearts are Subedar Major Pawan Kumar, Rifleman Sunil Kumar (Vir Chakra), Lance Naik Dinesh Kumar, Agniveer Murali Naik, Havildar Sunil Kumar Singh, and IAF Sergeant Surendra Kumar (Vayu Medal).

Until now, the government had not officially disclosed the identities of personnel who lost their lives during the four-day operation. 

The publication of their names formally acknowledges the human cost of the mission and places them alongside every soldier who has laid down their life in service of independent India. 

Their names will remain inscribed at the National War Memorial as a lasting tribute to their courage and sacrifice.

[Operation Sindoor, National War Memorial, Indian Army, Indian Air Force, Pahalgam]

#OperationSindoor #IndianArmy #NationalWarMemorial #IndianAirForce #thebharatpost",Positive,"Post
",26.06.2026,"thebharatpost_
",4.3K,,English,https://www.instagram.com/p/DaDAnQWmVS-/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
25,"The government has officially released the names of six Indian soldiers who were killed in action during Operation Sindoor, marking the first public disclosure of their identities since the operation. The personnel were martyred during the cross-border military action carried out in response to the Pahalgam terror attack. Their names have also been added to the National War Memorial’s Roll of Honour as a formal tribute. As per officials, the disclosure is part of efforts to formally recognize and honour the sacrifices made during the operation.",Positive,Post,27.06.2026,"spot.newsmedia
",2.2K,52.4K,English,https://www.instagram.com/reel/DaFGBTAkdt8/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
26,"The government has, for the first time, publicly disclosed the identities of six Indian armed forces personnel who were martyred during Operation Sindoor, India's military response targeting terror infrastructure in Pakistan and Pakistan-occupied Kashmir (PoK) after the April 22 terror attack in Jammu and Kashmir's Pahalgam.

The six personnel have been included in the Roll of Honour on the National War Memorial website and inscribed on Wall 3D at the National War Memorial in New Delhi under the 2025 section dedicated to defence personnel who made the supreme sacrifice in service of the nation.",Positive,Post,28.06.2026,"politics.in
",,,English,https://www.instagram.com/p/DaH6eWvj3L8/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
27,"13 months. 6 names. First time made public.
The Indian government has officially released the names of the 6 armed forces personnel martyred during Operation Sindoor — India's military response to the April 2025 Pahalgam terror attack.
Subedar Major Pawan Kumar
Rifleman Sunil Kumar
Lance Naik Dinesh Kumar
Agniveer M. Murali Naik
Havildar Sunil Kumar Singh
Sergeant Surendra Kumar
Two of them — Rifleman Sunil Kumar (Vir Chakra) and Sergeant Surendra Kumar (Vayu Sena Medal) — were also honoured for gallantry. Most of India is only finding out about these awards now.
Here's the part worth pausing on: these names weren't announced on their own. They were quietly placed inside the full list of every soldier who made the supreme sacrifice in 2025 — released over a year after these men died for the country.
Their names will now be engraved on granite bricks at the Tyag Chakra, National War Memorial, New Delhi — alongside every soldier who has died for India since Independence.
They fought a war the nation watched on TV. It took 13 months to learn their names.
Should the identities of soldiers martyred in war be made public immediately — or is a delay justified for operational security? Drop your take below. 👇",Negative,Post,26.06.2026,"bharatdecoded27
",1.4K,166K,English,https://www.instagram.com/reel/DaC-csTyUoT/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
28,"🚨 BIG! Modi Government OFFICIALLY names 6 brave soldiers martyred in Operation Sindoor — India’s response to the April 2025 Pahalgam terror attack that killed 26 civilians.

Their names now immortalised at the National War Memorial:
— Subedar Major Pawan Kumar
— Rifleman Sunil Kumar
— Lance Naik Dinesh Kumar
— Agniveer Mood Muralinaik
— Havildar Sunil Kumar Singh
— Sergeant Surendra Kumar
.
.
#operationsindoor #indianarmy #bravesoldiers #breakingnews",Positive,Post,26.06.2026,meghupdates,1.6K,,English,https://www.instagram.com/p/DaDf4Tqx52Z/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
29,"""Shocking discrepancy in statements on Operation Sindoor. Defence Minister claimed no soldiers harmed in Parliament, yet PM Modi just named 6 martyred heroes over a year later. Our brave soldiers deserve full honour and transparency.
.

#OperationSindoor #IndianArmy #Martyrs #NationalSecurity #HonourOurHeroes JaiHind""",Negative,Post,27.06.2026,"shortexposuredaily_01
 ",18,555,English,https://www.instagram.com/reel/DaFnFbYssrp/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
30,"The government says that 10, not 6, soldiers have been martyred.
Who is telling the truth among these two?
Now the public should investigate this.
There is no employment, do this.

The Ministry of Defense has clarified that the claim regarding the martyrdom of 10 soldiers in 'Operation Sindoor' is misleading. According to official figures, six Indian soldiers laid down their lives in this operation. The government has recently included their names in the National War Memorial.
Names of the martyred soldiers:

Subedar Major Pawan Kumar, Rifleman Sunil Kumar, Lance Naik Dinesh Kumar, Aviation Technician Mood Murali Naik (Agniveer), Havaldar Sunil Kumar Singh, and Sergeant Surendra Kumar.

The core of the controversy—Congress's allegation: The opposition has accused Defense Minister Rajnath Singh of misleading Parliament. They claim the Defense Minister had previously stated that no Indian soldier suffered any harm during the operation. Government clarification:
Dismissing the allegations, the Ministry of Defense stated that a misunderstanding was created by selectively presenting a portion of the Defense Minister's speech on social media. According to the government, the families of all the martyred soldiers have already received welfare, educational, and medical benefits, and their supreme sacrifice will always be remembered with honor.",Negative,"Post
(No Comments)",27.06.2026,"arusharathore
 ",45,1326,English,https://www.instagram.com/reel/DaGUrxWtRw6/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
31,"The Modi government has broken every record of falsehood and shamelessness. 

Defence Minister Rajnath Singh had stated in Parliament that no soldier was martyred in Operation Sindoor.

Soldiers martyred during Op Sindoor:

• Agniveer Murali Naik
• Rifleman Sunil Kumar
• Lance Naik Dinesh Kumar
• Sergeant Surendra Kumar
• Havildar Sunil Kumar Singh
• Subedar Major Pawan Kumar

#rajnathsingh #operationsindoor #karachi #pakistan #viralreels",Negative,"Post
",28.06.2026,"hlworld_official
",137,5093,English,https://www.instagram.com/reel/DaHm9aDzSZv/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
32,"6 Soldier Martyred in Operation Sindoor

#rajnathsingh #bjp #modi #soldier #instagram",Negative,Post,28.06.2026,"rajusinghfacts
 ",58,3351,English,https://www.instagram.com/reel/DaIdTadBiSn/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
33,"A Nation Remembers Its Bravehearts

In a solemn tribute to the courage and sacrifice of India's armed forces, the names of six personnel martyred during Operation Sindoor have been inscribed on the walls of the National War Memorial.

The honoured heroes include five soldiers from the Indian Army and one officer from the Indian Air Force, who laid down their lives in the line of duty during the operation last year. Their names now stand alongside countless other brave men and women who made the ultimate sacrifice in service of the nation.

The inscription serves as a lasting reminder of their unwavering dedication, exceptional courage, and selfless commitment to protecting India's sovereignty. Their legacy will continue to inspire generations to come.

Jai Hind. 

Source: Ministry of Defence, Government of India
#OperationSindoor #NationalWarMemorial #IndianArmy #IndianAirForce #SaluteToHeroes #jaihind",Positive,Post,27.06.2026,qequickexplained,183,4092,English,https://www.instagram.com/reel/DaF7eV0Kkv9/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
34,"6 Indian soldiers martyred in Operation Sindoor.
Defence Minister Rajnath Singh told Parliament: ‘No soldiers were harmed.’
The truth came out over a year later.
A shameful cover-up. Respect for our martyrs. 🇮🇳
source:x",Negative,Post,28.06.2026,theindianinsight.bharat,28,1363,English,https://www.instagram.com/reel/DaGc0yEygTO/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
35,Operation Sindoor: Names of 6 Martyred Soldiers Revealed After 13 Months | Political Debate Rekindled #breakingnews #operationsindoor #latestnews #viral #indianews,Negative,Post,28.06.2026,tm_s_nowtrend__,7,619,English,https://www.instagram.com/reel/DaH5VSEBmZT/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
36,"The Government of India has announced the names of six army personnel who were martyred during Operation Sindoor, the country's military response to the Pahalgam terror attack

For the first time, the Government of India has announced the names of six army personnel who were martyred during Operation Sindoor, the country’s military response to the Pahalgam terror attack in Jammu and Kashmir.

As many as 26 people –– including 25 tourists and a local ponywallah –– were killed after terrorists opened fire at the Baisaran Valley in Pahalgam on April 22.

The names of the soldiers will be permanently inscribed on special granite plaques at the National War Memorial at the India Gate Circle in New Delhi.

The six martyrs –– most of whom laid down their lives during ‘Operation Sindoor –– include five personnel from the Indian Army and one Sergeant from the Indian Air Force. They are: 1. Subedar Major Pawan Kumar – Headquarters, 10 Infantry Brigade 2. Rifleman Sunil Kumar – 4th Battalion, Jammu and Kashmir Light Infantry Regiment 3. Lance Naik Dinesh Kumar – 5 Field Regiment 4. Agniveer Mood Murali Nayak – 851 Light Regiment 5. Havildar Sunil Kumar Singh – 237 Field Workshop and, 6. Sergeant Surendra Kumar – 39 Wing, Indian Air Force.

#rajnathsingh #opsindoor #indianarmy🇮🇳 #indianairforce🇮🇳 #indopakwar",Positive,Post,28.06.2026,swaybharat,975,62467,English,https://www.instagram.com/reel/DaGJ-DzP2kS/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
37,Six soldiers martyred during Operation Sindoor have been officially declared dead after 13 months.#soldier #armylife #death #sad #viral,Positive,Post,01-07-2026,abhishekbindazamgarh,8,645,English,https://www.instagram.com/reel/DaQJgaXzQMB/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
38,"13 months later, the nation learns that six brave soldiers were martyred during Operation Sindoor.

If this is true, why were their names kept hidden from the people? Why was Parliament told that there were no casualties? Our soldiers deserve truth, transparency, and the highest respect—not politics.

The nation has the right to know. The martyrs deserve to be remembered.

#OperationSindoor #IndianArmy #Martyrs #RespectOurSoldiers #TruthMatters Transparency NationalSecurity JaiHind India JusticeForMartyrs
",Positive,Post,28.06.2026,"realtalksbymomen_
",768,19103,English,https://www.instagram.com/reel/DaHpKqGs2ya/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
39,"There are only two possibilities here. Either the government did not know the full facts in July 2025, or the public was not told the complete truth.

On 28 July 2025, Parliament was informed that not a single Indian soldier was harmed during Operation Sindoor. Nearly a year later, on 26 June 2026, the government officially announced the names of six soldiers who were martyred during the same operation.

If both statements refer to the same operation, people have a right to ask: What changed? Why was this information released much later? Was the earlier statement incomplete, misunderstood, or based on different facts?

Supporting our armed forces also means respecting the truth about their sacrifices. Every soldier who gives their life for the country deserves timely recognition, not delayed acknowledgement. A democracy becomes stronger when difficult questions are answered with transparency rather than silence.

This post is not against the Army. It is about accountability, clarity, and respect for those who served. Facts should never become political. The nation deserves honest answers, and the families of our soldiers deserve complete transparency.

What do you think? Share your opinion respectfully in the comments.

#OperationSindoor #IndianArmy #Accountability

""Made with Picsart"" #PicsartPartner
@picsart  @picsart.creators",Negative,Post,29.06-2026,rational.front,1.2K,66832,English,https://www.instagram.com/reel/DaKRYKgh4rS/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
40,"The BJP's claim has come under question after the Indian Army confirmed that seven soldiers were martyred during Operation Sindoor, despite the government's earlier statement in Parliament that no soldiers had lost their lives.
#bjpscam #indiansoldiers #vira #memesdaily",Negative,Post,27.06.2026,political_.mirror,842,"32,696",English,https://www.instagram.com/reel/DaGSbRLAl2G/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
41,"6 Indian soldiers martyred in Operation Sindoor.
Defence Minister Rajnath Singh told Parliament: ‘No soldiers were harmed.’
The truth came out over a year later.
A shameful cover-up. Respect for our martyrs. 🇮🇳
source:x",Negative,Post,28.06.2026,the.echo.of.india,,1734,English,https://www.instagram.com/reel/DaGXw0QSp0k/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
42,"The central government faces severe opposition backlash and public scrutiny after the names of six bravehearts martyred during Operation Sindoor were officially inscribed at the National War Memorial. Political opposition leaders have shared video clips from a 2025 parliamentary debate, accusing Defence Minister Rajnath Singh of misleading the nation regarding armed forces casualties during the cross-border military conflict. In response, the Defence Ministry issued a strong clarification stating that the social media claims are deliberately misleading and factually incorrect. The administration clarified that the supreme sacrifices of the fallen soldiers  were formally acknowledged with gallantry awards in 2025. Citizens continue demanding complete transparency regarding national security updates. 

[operation sindoor, rajnath singh speech, indian army casualties, parliament debate row, national war memorial, defence ministry clarification, opposition backlash, military martyrs india, fallen soldiers tribute, cross border conflict, national security news, public accountability, political controversy, gallantry awards, military sacrifice recognition ]
#newsupdate #latestnews #breakingnews #operationsindoor #defence",Negative,Post,28.06.2026,newssense_daily,821,"62,866",Englisg,https://www.instagram.com/reel/DaHrAEXTk3-/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
43,"After Defence Minister Rajnath Singh denied in Parliament that anyone was martyred in Operation Sindoor, six martyrs from the operation have now been added to the National War Memorial following a verification delay.

follow us @headlinezindia
",Negtaive,Post,27.06.2026,headlinezindia,2,429,English,https://www.instagram.com/reel/DaGWx6CSyiX/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
44,"OPERATION SINDOOR: इन 6 वीरों की शहादत क्यों छुपाई?
.
.
.
.
.
.
OperationSindoor #IndianArmy #RajnathSingh #PoliticsNews #Shorts

Operation Sindoor truth
Operation sindoor news
6 jawans martyred operation sindoor
Rajnath singh parliament speech 28 july 2025
Operation sindoor viral video
Indian army martyrs hidden news
Pakistan claim on operation sindoor
Times of today news
Government hidden reports army
Parliament news latest
13 months lie exposed
Lance nayak dinesh kumar
Subedar major pawan kumar news
Viral political shorts hindi
Hindi news analysis shorts",Positive ,Post,29.06.2026,timesoftoday,7,154,,https://www.instagram.com/reel/DaKtT3iIk8Y/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
45,"During a Parliament debate on Operation Sindoor, Defence Minister Rajnath Singh stated that no Indian soldier was killed during the operation. However, the government later officially released the names of six soldiers who were martyred during Operation Sindoor, triggering a political controversy. 

The Congress accused the Defence Minister of misleading Parliament and sought privilege proceedings. The Ministry of Defence responded that the casualties had never been concealed and noted that the DGMO had publicly acknowledged the fallen soldiers in May 2025. 

The dispute now centers on whether Rajnath Singh's parliamentary statement was misleading or has been quoted without its full context.",Negative,"Post
(No Comments)",05.07.2026,the.vital.feed,18,5443,English,https://www.instagram.com/reel/DaawOyPpq_h/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
46,"🇮🇳ऑपरेशन सिंदूर:शहीदों पर राजनीति?
A major controversy has erupted over the names of six soldiers martyred in Operation Sindoor. The opposition alleged that the government withheld the names for a year, while the government's position differs. In this video, learn about the entire matter, the claims of both sides, and the underlying cause of the controversy.
Disclaimer: This video is an explainer based on publicly available reports and official information. Its purpose is not to support or oppose any political party, but rather to explain the topic. 
Operation Sindoor
Operation Sindoor News
Operation Sindoor Update
Operation Sindoor Explained
Operation Sindoor Hindi
Operation Sindoor Controversy
Operation Sindoor Martyrs
Shaheed Soldiers
Indian Army
India Defence
Defence News
Breaking News
Hindi News
Political News
Opposition vs Government
National War Memorial
Roll of Honour
Army News
Current Affairs
Bharat News
Military News
India News
Latest News
Indian Politics
Geopolitics
Viral News
Trending News
Defence Update
Indian Military
Hindi Explainer
icc women's t20 world cup 
fifa world cup 

#OperationSindoor #IndianArmy #DefenceNews #BreakingNews #HindiNews CurrentAffairs IndiaNews MilitaryNews BharatNews PoliticalNews",Neutral,Post,02.07.2026,ajitrajbhar06,4,368,English,https://www.instagram.com/reel/DaRjACkMCST/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
47,"◆ The Government of India has for the first time officially released the names of 6 soldiers who were martyred during the secret “Operation Sindoor” conducted in May 2025 across the border.

◆ From Subedar Major Pawan Kumar to Agniveer Mood Murli Naik, these brave hearts sacrificed their lives for the nation, and their names are now being etched at the National War Memorial’s ‘Tyag Chakra’.

#TheEdge #OperationSindoor #IndianArmy #Martyrs #Salute #NationFirst",Positive,Post,26.06.2026,edgenewsin,13,2497,English,https://www.instagram.com/reel/DaDAzzPkWLf/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
48,Government officially released names of six martyred Soldier of operation sindoor 🥲🙏 #operationsindoor #uri #politics #inc #aap @rahulgandhi,Positive,Post,27.06.2027,"sumit.bharti__
",102,4252,English,https://www.instagram.com/reel/DaGRMXeTGW9/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
49,"The Government of India has officially revealed the names of six Indian Armed Forces personnel who were martyred during Operation Sindoor. Their names have been added to the National War Memorial's Roll of Honour, recognizing their supreme sacrifice for the nation. In this video, we explain who these brave soldiers were, why their names were made public now, and the significance of their inclusion at the National War Memorial. We also revisit Operation Sindoor, India's military response following the Pahalgam terror attack, and the key events of the operation. #operationsindoor #indianarmy🇮🇳 #rajnathsingh",Negative,Post,29.06.2026,theassamjournal_,22,867,Emglish,https://www.instagram.com/reel/DaKfofjuq6-/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
50,"चुनाव के चक्कर में छुपाया सच? 'ऑपरेशन सिंदूर' का बड़ा खुलासा! 🚨🚨

#operationsindoor 
#rajnathsingh 
#indianarmymartyrs 
#navikrāgmudde 
#cockroachjantaparty 

​[Operation Sindoor casualties, Rajnath Singh speech controversy, Indian army jawans martyred, Parliament political debate, Defence Ministry clarification, NavikRāg Mudde, Cockroach Janta Party, cjp]",Negative,Post,01.07.2026,navikrag.mudde,,5438,Hindi,https://www.instagram.com/reel/DaPaySfsm1n/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
51,"After 13 months, the names of the 6 brave soldiers martyred during 'Operation Sindoor' have been officially released and added to the National War Memorial. What are your thoughts on this update? #OperationSindoor #IndianArmy #NationalWarMemorial",Positive,"Post
(No comments)",29.06.2026,ansarulkhan007,11,583,English,https://www.instagram.com/reel/DaKYKcpDwOC/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
52,"Operation Sindoor stands as a poignant testament to the ultimate sacrifice of six brave servicemen who were tragically martyred in the line of duty while defending the nation. This elite group of fallen heroes includes dedicated personnel from the Indian Army alongside a decorated Sergeant from the Indian Air Force who was honored with the Vayu Medal. Their profound bravery and selfless dedication during this critical military operation reflect the highest traditions of valor and service upheld by the Indian Armed Forces.

#OperationSindoor #IndianArmedForces #FallenHeroes #NationFirst #SupremeSacrifice",Positive,"Post
(No comments)",02.07.2026,drsti_kone,0,2245,Englishe,https://www.instagram.com/reel/DaSxjHmB8jO/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
