Sr. No.,Link,Headline,Channel,Summary,Translation unavailable,Language,Date & Time,Semtiment,Likes,Comments
23,https://www.youtube.com/watch?v=sxATWOJyQ9M,BJP Losing Ground in UP: How Will They Win Next Elections? RSS Tension,The Public India,"The political landscape in Uttar Pradesh is turbulent ahead of the early 2027 assembly elections, with the BJP's key electoral strength, the Ram Temple, now becoming a liability. A significant theft at the Ayodhya Ram Temple has become a widespread topic of discussion. While some devotees downplay it as a minor incident, Samajwadi Party's Ram Gopal Yadav alleges it's a multi-crore scam exceeding 2000 crore rupees, with unaccounted donations of gold, silver, and diamonds. The speaker notes that ordinary citizens feel cheated, believing not only they but also Lord Ram himself have been defrauded. Consequently, temple offerings have plummeted by 90%.

Prime Minister Narendra Modi has remained silent on the issue, occupied with a busy schedule including diplomatic engagements (Japan PM's visit) and upcoming domestic and international travels (Jodhpur, Indonesia, Australia, New Zealand). The speaker questions if Modi was unaware or will address the matter during his upcoming public appearances.

The upcoming Monsoon Session, starting July 20th, will see the Congress party aggressively challenging the BJP government on the Ram Temple issue. A major point of contention will be a Privilege Motion against Defense Minister Rajnath Singh. He is accused of misleading Parliament regarding 'Operation Sindoor,' where he initially claimed no soldiers were martyred, a statement later contradicted by the government confirming six casualties. The speaker explains that this constitutes a 'breach of privilege' under Article 105, potentially leading to warnings or even imprisonment. However, the speaker expresses skepticism about severe action or resignation, citing a perceived lack of ethics and accountability within the BJP government, drawing parallels to previous controversies involving ministers like Hardeep Puri and Dharmendra Pradhan. The speaker suggests that the Ram Temple theft might have connections to higher authorities, implying that it couldn't have been carried out by a few employees alone, and linking it to alleged RSS/BJP efforts to control the temple trust to avoid financial scrutiny.","Hello, I am Dhananjay Kumar, and welcome to The Public India. A lot is happening in Uttar Pradesh, primarily due to the assembly elections scheduled for early 2027. The BJP's biggest weapon, the Ram Temple, seems to have backfired. Ram, the Ram Temple, and Lord Ram himself appear to be standing against the BJP. The theft that occurred at the Ram Temple in Ayodhya is a widespread topic of discussion across villages, public squares, and cities of Uttar Pradesh. Some devotees are downplaying it, saying, 'It's not a major theft, just minor incidents happen where many people are present. Did Modi Ji steal it?' On the other hand, Ram Gopal Yadav of the Samajwadi Party alleges it's a theft case exceeding 2000 crore rupees, with no proper accounting for the vast donations of gold, silver, diamonds, and more. Even ordinary citizens, not directly involved in politics – though everyone is indirectly involved – those who are not directly in politics, who vote and live their lives, also feel cheated. They feel not only they but also Lord Ram was cheated in his name. That's why offerings at the Ram Temple have significantly decreased; it's said to have dropped by 90%. This will go against the BJP. However, Narendra Modi is not saying anything yet; he hasn't spoken so far. Yesterday, I also asked if Narendra Modi Ji was unaware? People are saying he knew everything. Let's see when Narendra Modi speaks; he has to speak, he will have to speak. But currently, he is busy. From July 1st to July 3rd, Japan's PM Sunay Takaichi is visiting India. Modi Ji is busy there. Then, on July 4th, the PM will go to Jodhpur, Rajasthan, for some function. After that, from July 6th to July 11th, he will travel to Indonesia, Australia, and New Zealand. This means he will embark on travels again from July 6th. It's possible he might say something on July 4th when he goes to Jodhpur, Rajasthan. But what he will say remains to be seen. Regarding the Monsoon Session, it is said to start from July 20th. The Monsoon Session will last for at least three weeks, and in this session, the Congress has prepared to corner the BJP government not only on the temple issue but also on another major sticking point: Rajnath Singh. Rajnath Singh lied in Parliament, stating that no soldier was martyred during Operation Sindoor. Later, the government itself confirmed that six of our soldiers were martyred. Obviously, this means Rajnath Singh lied in Parliament. Now, Congress is bringing a Privilege Motion against him. Under Article 105 of the Constitution, this motion provides that if a minister gives a false statement or attempts to mislead Parliament, a Privilege Motion can be brought against them. This is called a Breach of Privilege, which violates the rights given to a minister. A minister is granted the freedom to speak, but they must speak the truth, not falsehoods. If they speak falsely, action will be taken against them. The process for bringing a motion first requires a notice, which is said to have been given. After the notice, the Speaker will approve it. Then, a Privilege Committee will be tasked with investigating whether the allegations are true. If found true, there are provisions for punishment ranging from a warning to imprisonment. This imprisonment is not for a long term but could last as long as the session continues, meaning Rajnath Singh could be imprisoned until the Monsoon Session concludes. However, this is unlikely because it's a BJP government. Rajnath Singh himself once said that there are no resignations in a BJP government. We have seen this recently with the controversy surrounding Hardeep Puri, the uproar over the Epstein files, the paper leak controversy involving Dharmendra Pradhan, and now the uproar over Rajnath Singh's alleged lie. But resignations don't happen, obviously. Because the matter of resignations is about ethics. Does the BJP have ethics? They talk about ethics, purity, religion, culture, tradition, Indianness, Vedas, Puranas – they carry all these on their heads. But the essence of all this, ethics, is missing. 'Ram in the mouth, a dagger in the side.' The theft of money from the Ram Temple is proven. Even the SIT is demanding it, which is why eight people have been arrested, and money and other items have been recovered. But for such a large-scale incident, it's impossible that only a few employees would be involved. Clearly, its roots are connected to higher authorities, and the higher-ups have instructed it because the 'shops' above – many people are also asking who built the Ram Temple. And the RSS, BJP are also trying to maintain their control over the Trust. And control means we won't give an account to anyone. We will give whatever account we want. We will show and incur whatever legal or illegal expenses we want. Who are you to question us? All these things have already been said by prominent leaders. But what Narendra Modi Ji will say, time will tell. However, it clearly seems that the threads of this theft are connected somewhere to the highest office. Because everyone is questioning how Narendra Modi Ji was unaware, who uses drones...",Hindi,02-07-2026 01:30,NEGATIVE,98,28
24,https://www.youtube.com/watch?v=nwQ7bmfwDM4,How were the names of the martyrs of Operation Sindoor hidden 😡😡,Indian National Congress,"The speaker accuses Defence Minister Rajnath Singh and the government of misleading and lying to Parliament. He claims that the government mentioned only six names in a notice, while more names should have been included. Considering this a clear case of privilege, the speaker states he has moved a privilege motion against Rajnath Singh.","Hey minister, Mr. honourable parliament, they're not deceiving your facts. They're not lying to the parliament. In this, Rajnath Singh ji, Defence Minister only. For that nobody in this. Nobody. But the government only mentioned six names now. I mentioned all the names in the notice. Completely misleading the parliament. Completely lying to the parliament. Is it a clear case of privilege? That's why I moved a privilege motion against Rajnath Singh ji. Let's think about...",English,01-07-2026 06:00,NEGATIVE,0,4
25,https://www.youtube.com/watch?v=iICd4Yzsnjw,Former soldier lambasted everyone from the Prime Minister to the Defence Minister! | Rohit Chaudhary | Rajnath Singh,Indian National Congress,"The speaker accuses Defence Minister Rajnath Singh of insulting Operation Sindoor martyrs, lying in Parliament about no casualties, and ignoring their sacrifice. He highlights that while Singh denied casualties, six martyrs' names are inscribed on the War Memorial. The speaker criticizes the BJP for a lack of accountability and for engaging in lies and deceit, referencing a 2014 statement by Singh. An emotional appeal from the mother of a martyred soldier, Surender Moga, is played, where she expresses deep anger and sorrow over the minister's perceived insensitivity and the lack of respect for her son's sacrifice. The speaker concludes by questioning the whereabouts of four additional missing names from the War Memorial, emphasizing the alleged cover-up.","You are seeing this backdrop. It shows that Rajnath Singh, the Defence Minister, has insulted the martyrs of Operation Sindoor and ignored them. He lied in Parliament, stating that no soldier was harmed. A few days ago, six names of Operation Sindoor martyrs were inscribed on the War Memorial. You can see how Rajnath Singh ji lied in Parliament, the biggest temple of democracy, in front of the entire country. Similarly, a British PM lied in such a temple and had to resign. In 2014, Rajnath Singh ji had stated that there are no resignations in BJP. He was right; in BJP, there's no responsibility, no accountability, no responsibility, only lies and deceit. This has become evident to us in 12 years. Friends, we want to refresh your memories regarding Operation Sindoor. On July 28, 2025 (likely an incorrect date), 78 days after the ceasefire, Rajnath Singh ji gave this statement in Parliament during a debate on Operation Sindoor. Listen. If you have to ask a question, then ask: were any of our brave soldiers harmed in this operation? The answer is no, no harm came to our soldiers. But in Operation Sindoor, 10 of our jawans were martyred. Rajnath Singh ji stated in Parliament that none of our jawans or soldiers were harmed. Next video. This was the July 28 video. On August 4, when the mother of martyred Air Force soldier Surender Moga (Rajasthan) heard Rajnath Singh ji's statement, listen to her response. (Woman's voice) ""My son went to the army, yet I didn't do this. No one can cut off his tongue, not even the Defence Minister. Take me to him, I will cut off his tongue. He doesn't even have the sense to speak, who made him Defence Minister? My son gave his life for the country, yet he is not getting respect. When will the certificate come? Finally, he has rubbed salt into our wounds. We are already burning, and he is burning us more. Such a big minister, speaking such words, doesn't feel any shame."" This is a list of six jawans whose names were inscribed on the National War Memorial and the War Memorial at India Gate a few days ago. Even today, four names are missing. We ask: where are the names of those four other brave martyrs?",Hindi,30-06-2026 07:30,NEGATIVE,0,9
26,https://www.youtube.com/watch?v=Q6RlXJY4QXY,The Biggest Question | “BJP lied inside Parliament..”,News 24,"The speaker alleges that the martyrdom of Operation Sindoor soldiers was concealed, and lies were spoken inside Parliament.","They were soldiers of Operation Sindoor, their martyrdom was also kept hidden. Lies were spoken inside Parliament.",Hindi,29-06-2026 19:05,NEGATIVE,8,0
27,https://www.youtube.com/watch?v=xGPYO7ZQSEs,The Biggest Question | What did the Congress spokesperson say on the paper leak case?,News 24,"The speaker accused of hiding the martyrdom of 'Operation Sindoor' soldiers and lying in Parliament, demanding Rajnath Singh's resignation. He further alleged a central minister took ₹99 lakh for cucumber farming and Mohan Yadav usurped 168 acres of land through planned schemes, misusing his Chief Minister's position. A serious accusation was made that ministers are colluding with the paper leak mafia, stating that if the mafia isn't apprehended, then the government and BJP members are involved.","The soldiers of Operation Sindoor, their martyrdom was also hidden. Lies were spoken inside Parliament, so Rajnath Singh should also resign. One of their central ministers took 99 lakh rupees of public's tax money for his cucumber farming. Mohan Yadav has usurped 168 acres of land, and he bought land wherever roads were to be built, all under a planned scheme. So, misuse of their Chief Minister's post. They can do this. Their ministers can take taxpayer's money. Their ministers, in collaboration with the paper leak mafia - this is my accusation, I am making a big accusation. If the paper leak mafia is not being caught, then the government is involved in it. People of the government, people of BJP are also involved. Dheerendra Munna, answer.",Hindi,29-06-2026 19:03,NEGATIVE,6,0
28,https://www.youtube.com/watch?v=dIc3h0OUhnU,The Biggest Question | 'The martyrdom of Operation Sindoor soldiers was also hidden',News 24,"The martyrdom of soldiers involved in Operation Sindoor was allegedly concealed, and false information was presented within the Parliament.","The soldiers of Operation Sindoor, their martyrdom was also hidden. Lies were told inside the Parliament.",Hindi,29-06-2026 19:02,NEGATIVE,7,0
29,https://www.youtube.com/watch?v=nh9HeVUhag8,"News School: Talking Eye-to-Eye with a 'Superpower', Warmly Shaking Hands with Seychelles!",ET Now Swadesh,"Amidst global turmoil (Iran-US, Russia-Ukraine tensions), India and China emerge as the only rapidly growing superpowers unentangled in wars. Notably, India's economic pace under PM Modi is extraordinary, with the world recognizing it as a ""growth engine."" China also acknowledges the necessity of maintaining good relations with India. A new India now operates on its own terms, displaying splendid diplomacy in a changing geopolitical landscape.

PM Modi's state visit to Seychelles underscores its critical importance as a friendly nation in the Indian Ocean due to its strategic and geographical location, vital for sea lines of communication (SLOCs) and global trade. Seychelles serves as a strategic partner for India to counter China's escalating economic and military influence in the Indian Ocean. India is actively strengthening its military and diplomatic ties with Seychelles, aligning with its 'Ocean Vision' for a stronger India contributing to global stability.

Modi's foreign policy is rooted in mutual trust, caution, and decisive action in national interest, unswayed by external pressure. His clear principle is 'keep moving forward,' asserting that India's foreign policy will not be dictated. While China discusses normalizing relations and progress in border talks, its history of deception precludes blind trust. China, resentful of India's growing power, is attempting to encircle India through agreements with Bangladesh, such as those concerning the Teesta River and Mongla Port. The agreement with China for Mongla Port's development on land previously allocated for an Indian Economic Zone is a strategic concern, as it could grant China access near India's ""Chicken Neck."" Modi's 'Ocean Vision' is strategically addressing these challenges, with China implicitly at its core.","Currently, there is an incredible uproar in the world. While there has been an initiative for peace in the Iran-America conflict, Trump threatens Iran every other day. Meanwhile, Russia has given a very serious warning to America regarding providing military aid to Ukraine. A very serious warning. This means the war-like tension has not yet ended. Amidst the world's current tensions, PM Modi has embarked on a three-day state visit to Seychelles with his 'friendship formula'. I will tell you what special things will happen there, but first, understand that when two of the world's top five superpowers, America and Russia, are entangled in different wars, and Europe's economy is in bad shape, then the world's only two superpowers on 'our side' are 'us' and China. These are countries that are not only far from war but are also growing at a rapid pace. One is us, India, and the other is China. And even within this, the economic pace of Modi's India is truly amazing. The world is saying that if it wants to pick up speed, it must follow Modi's growth engine. China also understands this. Whether it wants to or not, it will have to maintain relations with India. It will not achieve anything by spoiling them. It will gain nothing. New India now knows how to respond, operates on its own terms, and that is why, in changing geopolitics, what splendid chapter of diplomacy is Modi's India writing? The answers to all these questions are in today's extra class. 'My dreams, my resolve, on my heart and tongue, just wait and see, the signs on the heights are only of Hindustan.' With this resolve, PM Modi is on a visit to another friendly nation, Seychelles. Seychelles, a small African country with a population of less than 1.5 lakh. But strategically and as a friend of India, it is equally important. What makes it important is its strategic and geographical location. Seychelles is located in that part of the Indian Ocean from where the world's busiest maritime trade routes, i.e., Sea Lines of Communication, pass. Global trade, oil, and gas supplies take place from here. The second special reason is a strategic partner to counter China. In recent years, China's economic and military influence on the African coasts in the Indian Ocean region has increased rapidly. India is continuously strengthening its military and diplomatic relations with Seychelles to balance Chinese dominance in this region. The third is India's Ocean Vision. The stronger the world's largest democracy, the more it will empower the world. It will contribute to increasing global stability. PM Modi is drawing a long line for India's future, and on the parameter of trust, he appears far ahead of Trump. PM Modi has received many international awards, which were given for his contribution to sustainable economic development, global cooperation, and environmental protection. ""We believe that our shared future must be shaped collectively, inclusively and fairly. This belief guided India's efforts during our G20 presidency. It was in this spirit that we worked to place the priorities of the Global South at the center of international discussions."" Even during periods of war, the world has seen that Modi's policy is one of mutual trust. Modi has always been cautious and balanced diplomatically. No pressure works on him when it comes to national interest. Trump has also understood that Modi does not back down from taking daring steps for the country's interest. PM Modi's policy is clear: do not stop in one place, keep flowing like water. No one will dictate India's foreign policy. Modi's formula is: do not stop, keep moving forward. India cannot blindly trust China. If China tries to encircle India by collaborating with Bangladesh and Pakistan, then India's strategy is also strong. Diplomacy is the art by which a nation protects its interests not with swords, but with words, patience, and strategy. Modi's policy appears most accurate and effective. Trump imposed illegal tariffs, Modi found alternatives. Pakistan hatched a terrorist conspiracy, was taught a lesson with 'Operation Sindoor'. Lies were told about Rafale, India showed patience, the truth came out. Modi stuck to his terms. China is normalizing relations with India, progress has been made in talks to reduce border tensions. But China's history is full of deception and deceit, so can China be trusted? Bangladesh has joined hands with China for the Teesta River and Mongla Port. Is China using Bangladesh as a pawn to put pressure on India? It is tense about its growing grip. China is irritated by India's growing power and increasing influence in South Asia. So, is this why China has tried to bring Bangladesh into its fold? So that China's reach extends to India's strategically important Chicken Neck. Mongla Port has also been a very important port for India. Now, according to the agreement between Bangladesh and China, Mongla Port will be developed with China's help on 110 acres of land in Bagerhat. Earlier, this land was given for the Indian Economic Zone. But in October 2025, the interim government of Mohammed Yunus withdrew its hands. Now China has very cleverly made an agreement with Tarique Rahman regarding Mongla Port. Additionally, Bangladesh has also signed an agreement with China Road and Bridge Cooperation. Modi is engaged in some more strategic preparations with his Ocean Vision. Obviously, China is also at the center somewhere. The positive results of which will come to light with time. China also knows that the global trust that Modi and India have...",Hindi,29-06-2026 17:17,POSITIVE,8,0
30,https://www.youtube.com/watch?v=cCcjtYxUdkI,Martyrs' families will not forgive them,Indian National Congress,"On May 14th, the Congress Party Working Committee decided to organize 'Jai Hind' assemblies and press conferences nationwide. These events, involving the ex-servicemen department, aim to fully honor and express gratitude for the bravery and valor of Indian soldiers during 'Operation Sindoor'. This initiative reflects the Congress Party's ideology.","The Congress Party Working Committee called a meeting on May 14th, in which it was decided that 'Jai Hind' assemblies would be held across the country and press conferences would be conducted. The ex-servicemen department, along with others, will also participate. These assemblies will be held to fully honor and express gratitude for the bravery, valor, and courage shown by our country's soldiers during 'Operation Sindoor'. So friends, this is the ideology of the Congress Party.",Hindi,29-06-2026 14:15,POSITIVE,0,7
31,https://www.youtube.com/watch?v=XSsp8RnEeyI,Modi govt. chose to hide the sacrifice of our brave soldiers to protect their own image.,Indian Youth Congress,"The Indian government has publicly released the names of six brave soldiers who achieved martyrdom in Operation Sindoor, having made the supreme sacrifice for the nation. The commentary then directly addresses the Prime Minister, asserting that the nation, its image, and its armed forces are superior to his personal image or political considerations, urging him to grasp this with humility and dignity.","Was there any harm to our brave soldiers in this operation? The answer is no. The Indian government has made public the names of the brave soldiers of the country who attained martyrdom in Operation Sindoor. The government has shared the names of six soldiers who made the supreme sacrifice for the country. To the Prime Minister, the nation is above your image, above your politics. The forces are above your PR. Have the humility to understand that. Have the dignity to understand that.",Hindi,29-06-2026 12:01,NEGATIVE,260,9
32,https://www.youtube.com/watch?v=VlRT7JgXXsM,🚨Why Is Congress Demanding Rajnath Singh Resignation🚨 #shorts,Politics Broadcast,"The speaker alleges that Rajnath Singh disrespected the martyrs of Operation Sindoor by denying any casualties in Parliament, despite evidence suggesting otherwise. They claim Singh previously held a press conference on May 11, 2025, where names of casualties were mentioned. The speaker challenges Singh's statement in Parliament, questioning if he or others were lying, and demands either an apology or his resignation for misleading the house about military personnel's harm.","that Rajnath Singh has insulted the martyrs of Operation Sindoor, ignored them. He lied in Parliament. He said that no soldier was harmed. A misconception is being spread by you all. They are saying that on May 11, 2025, he held a press conference where these people's names were included. Please tell us, if their names were among them, or if some people were martyred, then why did Rajnath Singh ji say on the floor of the House that no soldier was harmed? Either they were lying, or Rajnath Singh was lying. Either they will apologize, or Rajnath will resign.",Hindi,29-06-2026 11:30,NEGATIVE,15612,246
33,https://www.youtube.com/watch?v=ByVb-oSMsPw,EXCLUSIVE Interview of Abhay Dubey: Rajnath's lie in Parliament - What did Abhay Dubey say? | Rajnath,DESH NEETI,"The speaker expresses deep regret that the Prime Minister and Defence Minister have not disclosed the losses incurred by India, including aircraft shot down, during 'Operation Sindoor'. Rahul Gandhi and the Congress party have consistently raised this question. The speaker claims the entire world knows how China and Pakistan collaborated to harm India in this operation, freezing radar systems and isolating the country, while other nations possess advanced satellite constellations. The revelation is deemed shameful, and if the government is prepared to lie in Parliament, it raises concerns about what else is being concealed from the public.","This is a very unfortunate matter. Rahul Gandhi ji, the Congress party, the entire country was continuously asking the Prime Minister and the Defence Minister to tell what loss India finally incurred in this Operation Sindoor? How many of our aircraft were shot down? It is an unfortunate thing. The entire world knows. You see, Europe has its constellation, Glonas, Galileo for Russia, GPS for America, and Baidu for China. They found out everything with their constellations, their satellites, but only the citizens of India did not know what happened to us. The whole world was saying how China, in collusion with Pakistan, tried to harm us in India's Operation Sindoor. All our systems were frozen by radar, and we were completely in isolation. And the revelation made today is shameful. It means if the government is ready to lie even in Parliament, then one can understand what all must be hidden from this country.",Hindi,29-06-2026 11:20,NEGATIVE,97,1
34,https://www.youtube.com/watch?v=1lOngi7iS7k,"Rajnath's Lie on Operation Sindoor, Abhay Dubey Postmortems CM Yogi's Removal from Power!",DESH NEETI,"The clip begins with a discussion of Rajnath Singh's statement regarding Operation Sindoor, where he initially denied any soldier casualties. The speaker highlights that a year later, the government released the names of six martyrs, raising questions about a lie told in Parliament. Rahul Gandhi and the Congress also questioned the losses and downed aircraft during Operation Sindoor. The speaker points out that international satellite systems (Europe's Glonass, Galileo, Russia's, America's GPS, China's Beidou) tracked everything, implying the world knew the truth, but Indian citizens were kept in the dark about how China, in collaboration with Pakistan, tried to harm India, freezing systems and isolating them. This is labelled as shameful. Later, the discussion shifts to Mohan Yadav's land dealing case in Madhya Pradesh. Akhilesh Yadav, while defending Yadav, also implicated CM Yogi in similar land transactions (300-600 acres). The speaker perceives this as an internal BJP political conspiracy to remove Yogi Adityanath. Brijbhushan Sharan Singh also questioned who in power provided information to Akhilesh. The segment concludes by stating that those who conspired against the public are destined for removal, framing the issue as one of corruption, not caste, as thousands of crores of corruption occurred under the patronage of power while the public suffered.","Rajnath Singh's statement. He is saying in Parliament that if you want to ask a question, then ask how many soldiers were harmed, and the answer is no, no, no. Not a single soldier was harmed. And now, when more than a year has passed since Operation Sindoor, the government itself releases the names of those six martyrs whose names are printed in the War Memorial. Everywhere, there is a discussion about those six names, which we just discussed with you. So why is this? Why is a lie being told in Parliament after all? This is a very unfortunate thing. Continuously, Rahul Gandhi ji, the Congress party, the whole country was asking the question that the Prime Minister of the country, the Defense Minister, please tell us, what loss did India ultimately suffer in this Operation Sindoor? How many of our aircraft were shot down? It is an unfortunate thing. The whole world knows. You see, the constellation that Europe has, is Glonass, Galileo, Russia has, Russia has, America has GPS, and China has Beidou. They tracked everything with their constellations and satellites. But only the citizens of India didn't know what happened to us. The whole world was saying how China, in collaboration with Pakistan, tried to harm us in India's Operation Sindoor. All our systems were frozen by their radar, and we were completely in isolation. And today, this revelation is a shameful thing. It means if the government is ready to lie even in Parliament, then it can be understood what all is being hidden from this country. Yes. Sir, now see, since you come from Indore, that's why the big political upheaval that emerged from Madhya Pradesh, the case of Mohan Yadav's land purchase and sale. On this, sir, a new turn has come that instead of cornering him, Akhilesh Yadav defended him. But in that, he made a big statement that CM Yogi has also bought and sold about 300 to 600 acres of land. So this is a political conspiracy within the BJP itself to remove these Chief Ministers, he mentioned three Chief Ministers, and ultimately a political atmosphere is being created to remove Yogi Adityanath. Also, Brijbhushan Sharan Singh also said that who gave the 'masala' (ammunition/information) to Akhilesh Yadav? It was given by people sitting in power. So, how true is this, and do you think that such a political conspiracy is being hatched to remove Yogi Adityanath because a similar dispute was seen in 2022 as well? Look, those who conspired against the people of the country and the state, their removal is certain. Whether the Bharatiya Janata Party removes them or the public itself will remove them in the elections. But Akhilesh Yadav ji, this question is not about caste, it is about land. I have never seen an OBC person so deeply involved in such severe corruption, that under the patronage of his own power, you did work worth thousands of crores, and the youth and public of the country are struggling, while you are earning thousands of crores of rupees. So this question is directly about corruption. It has nothing to do with OBC or caste.",Hindi,29-06-2026 11:00,NEGATIVE,0,0
35,https://www.youtube.com/watch?v=dbGIgGg_2U8,"Defence Minister Rajnath Singh has insulted the martyrs of 'Operation Sindoor', he has ignored them.",Indian Youth Congress,"The video accuses Defence Minister Rajnath Singh of insulting the martyrs of 'Operation Sindoor' and lying in Parliament. The speaker claims Rajnath Singh stated that no soldiers were harmed in the operation, whereas 10 soldiers were martyred. Initially, six names of martyrs were inscribed on the War Memorial, but now four names are missing. The video also features an emotional statement from the mother of a martyred soldier, Surender Moga, who condemns the minister's statement, asserting her son gave his life for the country but receives no respect. The speaker alleges that BJP is characterized by lies and deceit.","You are seeing this backdrop. What is visible in this backdrop is that Rajnath Singh, the Defence Minister, has insulted the martyrs of Operation Sindoor; he has ignored them. He lied in Parliament and said that no soldier was harmed. And also a few days ago, on the War Memorial, the names of six martyrs of Operation Sindoor were inscribed. So you can see how Rajnath Singh ji lied in front of the entire country, inside the Parliament, which is the biggest temple of our democracy. And inside such a temple, a Prime Minister of the British Government had lied a couple of years ago, and he had to resign. And here I also want to remind you that in 2014, Rajnath Singh ji had given a statement and said that there are no resignations in BJP. He was right. In BJP, neither responsibility is taken, nor is there accountability, nor is there responsibility; there is only lies and deceit. We have seen this in 12 years. So friends, we want to refresh your memories related to Operation Sindoor. First, on July 28, 2025, it had been 78 days since the ceasefire. After that, he gave this statement in Parliament when there was a debate about Operation Sindoor. Listen. And if you have to ask a question, then ask this: was there any loss to our brave soldiers in this operation? And its answer is no. There was no harm to our soldiers. In this Operation Sindoor, we have this list. Our 10 brave soldiers were martyred. But Rajnath Singh ji said this, said in Parliament, spoke in Parliament that none of our brave soldiers were harmed. Thank you. Next video. This was the video of July 28. This is from August 4. A jawan of our Air Force who was martyred, Surender Moga, was from Rajasthan's Balsamand. So when his mother heard Rajnath Singh ji's statement, what was her response? Listen. I lost my son, yet they say that the Defence Minister cannot even cut his tongue. Take me there, I will cut his tongue. Who made him the Defence Minister? My son gave his life for the country, yet he is not getting any respect. They tell us to wait, they say a certificate will come. Now, it's like they've poured poison on us, poured salt on our wounds. We are already burning inside. What kind of minister is he, saying such things? He feels no shame speaking such things. He has no shame on his face. Thank you. This is the list of six jawans whose names were inscribed on the site of the National War Memorial, and also on the War Memorial built at India Gate, a few days ago. Even today, those four names are missing. We ask the question: where are the names of those four other brave soldiers who were martyred?",Hindi,29-06-2026 10:12,NEGATIVE,25,4
36,https://www.youtube.com/watch?v=dMadXUHhMbE,Rajnath Singh Faces Jail Over Parliament Martyrdom Lies?,The Public India,"The issue of 'Operation Sindoor' martyrs is a heated topic nationwide, with questions being raised about Defense Minister Rajnath Singh's statement in Parliament. Singh had claimed no casualties in the operation, but the War Memorial website now lists six soldiers, contradicting his assertion. This has led to accusations that Singh deliberately misled Parliament, withheld information, or outright lied, constituting contempt of Parliament and a breach of privilege. The speaker highlights the historical precedent of Indira Gandhi, who in 1978 was expelled from Lok Sabha and imprisoned in Tihar Jail by a majority vote for similar parliamentary misconduct, though she was later released and the resolution against her rescinded in 1981. Consequently, major opposition parties, including Congress, are preparing to move a privilege motion against Rajnath Singh in the upcoming parliamentary session, arguing he misled the House on July 28, 2025.","Friends, at this moment, the issue of martyrs of Operation Sindoor is heated across the country. Questions are being raised about Defense Minister Rajnath Singh's statement in Parliament. Rajnath Singh had claimed in Parliament that none of our soldiers suffered any casualties in Operation Sindoor. And now, since the names of six soldiers have appeared on the War Memorial website, many kinds of questions are being raised about his statement. The very first question is: Did the Defense Minister deliberately mislead the House? Did Rajnath Singh hide information despite knowing it? Did Rajnath Singh tell a blatant lie despite knowing everything? And is Rajnath Singh's statement contempt of Parliament? Is lying in Parliament a violation of parliamentary privileges? And can Rajnath Singh be punished for his actions? What does the constitution say about this? This resolution against Indira Gandhi was passed by a majority in the Lok Sabha. On December 19, 1978, a total of 279 MPs in the Lok S...",Hindi,29-06-2026 08:30,NEGATIVE,1408,227
37,https://www.youtube.com/watch?v=X1UBTo2EmCs,"Country's anger over Rajnath's statement, people were hurt",The Public India,"The speaker criticizes the BJP government for its handling of casualties from the ""Off-Sindoor"" operation between May 7-10, 2025. The Congress party honored the martyrs from May 16-31, holding 'Jai Hind' rallies to respect soldiers and their families, emphasizing this as a national culture where citizens spontaneously gather to pay respects. However, the speaker states that while the BJP government tries to capitalize on military achievements for votes, it took 78 days for Defence Minister Rajnath Singh to make a statement in Parliament on July 28, denying any casualties, which was factually incorrect. The speaker, aware of the minute-by-minute details, asserts that approximately 10 soldiers were martyred. The ""incompetent"" government failed to acknowledge these sacrifices, disrespecting the army's ethos which considers fallen soldiers a matter of pride.","Our people who were martyred in Off-Sindoor, between May 7 and May 10, 2025. After that, our Congress party called a meeting of the Congress Working Committee on May 16, and paid homage to the actions of the army, the achievements made by the soldiers, and the sacrifices they made. And from May 21 to May 31, we held 'Jai Hind' rallies across the country to honor the soldiers, to honor their families, and to honor the martyrs. This is our culture. Citizens of our country, anywhere, as it was mentioned, a large number of soldiers come from the Bhind, Morena, Gwalior division. So, the area I come from, that is also a big area of soldiers from Haryana. So, every citizen of our country, if the mortal remains of any martyr arrive, thousands and lakhs of people voluntarily gather because they are emotionally and sentimentally attached to them. They may not be able to contribute on the border, but by participating in their final journey, they definitely want to pay tribute, saying that ""I am also a part of this martyr's family."" So, this is our culture. Unfortunately, this BJP government, they try to take advantage of the achievements of the military. They try to ask for votes. But it's very surprising that it takes 78 days. On May 10, Off-Sindoor ended, and on July 28, in Parliament, Rajnath Singh ji gives a statement that no soldier suffered any loss. We had expressed our anger over this matter across the country the very next day, the ex-servicemen across the country, because we knew, we were watching the details of the operation minute by minute, second by second, checking what was happening and what was not happening. Our comrades who are fighting on the front lines, many people from our families are fighting, so we were gathering information about them, we knew that approximately 10 of our soldiers had been martyred. And this government, this incompetent government, did not acknowledge them. The army has a principle that if any soldier sacrifices or is martyred in the army, the battalion considers it its pride. The honor of the battalion and the formation, we consider them heroes and follow them, believing that one day we too will be useful for our country. This is our thought, an ethos of the army.",Hindi,28-06-2026 19:15,NEGATIVE,1,0
